wv,spd
360,0.071447402
361,0.073446266
362,0.075898096
363,0.078500748
364,0.081005752
365,0.083218187
366,0.084267631
367,0.084674597
368,0.084806047
369,0.084809162
370,0.085111432
371,0.085574158
372,0.086097486
373,0.086683229
374,0.087591745
375,0.088574119
376,0.089387149
377,0.089894205
378,0.089383908
379,0.088246122
380,0.086930275
381,0.085618436
382,0.084729299
383,0.084242068
384,0.084079094
385,0.084286414
386,0.085232407
387,0.086707942
388,0.088376284
389,0.090090357
390,0.090990588
391,0.091446407
392,0.092221424
393,0.093612932
394,0.096668884
395,0.101194091
396,0.106457755
397,0.112270646
398,0.118595101
399,0.125154823
400,0.13153626
401,0.137447432
402,0.142002299
403,0.145194858
404,0.14768818
405,0.14961347
406,0.151135728
407,0.152373224
408,0.153398141
409,0.154316247
410,0.155466914
411,0.156895295
412,0.158262074
413,0.159487948
414,0.160363615
415,0.160823524
416,0.161064103
417,0.161116824
418,0.161107019
419,0.161070734
420,0.160820082
421,0.160300866
422,0.159260929
423,0.157602951
424,0.155780241
425,0.153931469
426,0.1522239
427,0.150808856
428,0.149742782
429,0.14913401
430,0.149275988
431,0.150400162
432,0.152024493
433,0.154044434
434,0.156348974
435,0.158827826
436,0.161399037
437,0.16396606
438,0.166310623
439,0.168185607
440,0.16997841
441,0.17175895
442,0.1736954
443,0.176020354
444,0.178355858
445,0.180621415
446,0.182690725
447,0.184382752
448,0.185859457
449,0.187119827
450,0.188145772
451,0.188883528
452,0.189443573
453,0.189860344
454,0.190179005
455,0.190482244
456,0.190713316
457,0.190878451
458,0.190993667
459,0.191131026
460,0.191183105
461,0.191121787
462,0.190901875
463,0.190297008
464,0.189593092
465,0.188854441
466,0.188150004
467,0.187672213
468,0.18729651
469,0.187032923
470,0.186891407
471,0.186968863
472,0.187154427
473,0.187423706
474,0.187752515
475,0.188293472
476,0.188782856
477,0.189118013
478,0.189202979
479,0.188568145
480,0.187609941
481,0.186415508
482,0.18504481
483,0.183412462
484,0.181764305
485,0.180238634
486,0.178957805
487,0.178456247
488,0.178347513
489,0.178508312
490,0.178878248
491,0.179530352
492,0.180245519
493,0.180875793
494,0.181299508
495,0.181008682
496,0.180323094
497,0.179398015
498,0.178295121
499,0.177041754
500,0.175737128
501,0.174469799
502,0.173318341
503,0.172568068
504,0.172083661
505,0.171766058
506,0.171588153
507,0.171676442
508,0.171854153
509,0.171950042
510,0.171855301
511,0.171050906
512,0.169800103
513,0.168417066
