wv,spd
360,0.06587594
361,0.067526691
362,0.069512747
363,0.071599707
364,0.073598079
365,0.075363129
366,0.076288745
367,0.076718904
368,0.076892689
369,0.076899074
370,0.076923288
371,0.076956116
372,0.077001676
373,0.07709901
374,0.077596016
375,0.078232177
376,0.078753799
377,0.0790345
378,0.078452572
379,0.077335395
380,0.076061681
381,0.074779741
382,0.073822744
383,0.073180489
384,0.072798327
385,0.072718248
386,0.073243231
387,0.074208684
388,0.075346731
389,0.076543033
390,0.077136211
391,0.077408485
392,0.077944688
393,0.078971654
394,0.081272073
395,0.08470808
396,0.088745207
397,0.093249999
398,0.098285384
399,0.103605144
400,0.108785152
401,0.113558881
402,0.117111087
403,0.119439311
404,0.121159174
405,0.122394942
406,0.123332903
407,0.124073707
408,0.124633603
409,0.12509045
410,0.12568891
411,0.126463547
412,0.127174243
413,0.127766669
414,0.128103241
415,0.128138408
416,0.127994329
417,0.127687559
418,0.12727654
419,0.126779824
420,0.126116127
421,0.125263765
422,0.124093056
423,0.122558795
424,0.120916225
425,0.119248927
426,0.11763107
427,0.116142072
428,0.114892565
429,0.113976099
430,0.11363969
431,0.114078969
432,0.114897974
433,0.11601375
434,0.11733079
435,0.118754975
436,0.120247193
437,0.121739984
438,0.123084515
439,0.124112673
440,0.125080541
441,0.12603195
442,0.127075672
443,0.128362998
444,0.129641905
445,0.130856827
446,0.131918445
447,0.132696986
448,0.133315966
449,0.133778498
450,0.134079397
451,0.134195924
452,0.134185895
453,0.13406986
454,0.133873507
455,0.133640572
456,0.133347735
457,0.133001909
458,0.132616669
459,0.132243067
460,0.131811887
461,0.13130708
462,0.130702913
463,0.129871234
464,0.128973529
465,0.128045991
466,0.127126709
467,0.126304477
468,0.125537947
469,0.124841027
470,0.124227598
471,0.123787165
472,0.123428449
473,0.123135418
474,0.122892201
475,0.122788399
476,0.122665271
477,0.122460157
478,0.122114383
479,0.121355884
480,0.120407186
481,0.119314149
482,0.11810714
483,0.116700105
484,0.115272284
485,0.11391677
486,0.112713911
487,0.112014711
488,0.111565292
489,0.111284666
490,0.111133114
491,0.11114496
492,0.111192457
493,0.111187324
494,0.111055881
495,0.11049445
496,0.109692141
497,0.108740121
498,0.107673839
499,0.106484063
500,0.105255052
501,0.10405726
502,0.102948107
503,0.10214971
504,0.101549104
505,0.101062223
506,0.100662313
507,0.100378811
508,0.1001302
509,0.099836975
510,0.099442482
511,0.098679513
512,0.097682387
513,0.096611544
514,0.095527537
515,0.094552875
516,0.093695886
517,0.092948139
518,0.092334352
519,0.091996923
520,0.091870904
521,0.091837138
522,0.091848925
523,0.091787077
524,0.091653697
525,0.091499709
526,0.091324873
527,0.091127664
528,0.090908617
529,0.090669386
530,0.090410598
531,0.090161555
532,0.089908391
533,0.089606695
534,0.08923699
535,0.088717937
536,0.088054761
537,0.087334543
538,0.086583823
539,0.085838415
540,0.085121922
541,0.084443808
542,0.08382339
543,0.083322324
544,0.082949527
545,0.082642406
546,0.082386225
547,0.082177274
548,0.081999131
549,0.081814326
550,0.081598893
551,0.081294224
552,0.080877692
553,0.080402002
554,0.079873651
555,0.079295568
556,0.078673899
557,0.078023672
558,0.077354684
559,0.076696277
560,0.076063037
561,0.075413801
562,0.074739046
563,0.074006431
564,0.073197156
565,0.072366357
566,0.071528494
567,0.07069736
568,0.069887049
569,0.069114164
570,0.068393961
571,0.067748621
572,0.067198224
573,0.066735588
574,0.066367887
575,0.066137373
576,0.066080399
577,0.066083901
578,0.066112213
579,0.066150807
580,0.06618502
581,0.066101924
582,0.065838702
583,0.065231696
584,0.064101949
585,0.062777199
586,0.061330438
587,0.05983644
588,0.058370516
589,0.056998417
590,0.055790644
591,0.054885298
592,0.054453626
593,0.054272469
594,0.054312289
595,0.054553274
596,0.054982319
597,0.055524923
598,0.056136392
599,0.056757741
600,0.057317652
601,0.057840962
602,0.058306247
603,0.058679447
604,0.05891325
605,0.059051037
606,0.059092917
607,0.059027296
608,0.058828674
609,0.058559418
610,0.058240216
611,0.057898641
612,0.057571463
613,0.05724128
614,0.056916248
615,0.056618065
616,0.056387845
617,0.056156937
618,0.055908293
619,0.055616181
620,0.055242054
621,0.054818597
622,0.054345071
623,0.053803105
624,0.053146817
625,0.052478462
626,0.051830947
627,0.051252048
628,0.050814763
629,0.050462242
630,0.050198194
631,0.050039433
632,0.050026063
633,0.050081138
634,0.050182156
635,0.050313145
636,0.050469629
637,0.050589114
638,0.05063609
639,0.050548997
640,0.050221693
641,0.049776867
642,0.049230605
643,0.04859047
644,0.047851034
645,0.047077902
646,0.046303436
647,0.045570657
648,0.04493675
649,0.044374973
650,0.043898139
651,0.043527845
652,0.043295477
653,0.043167766
654,0.043142155
655,0.043220419
656,0.043408208
657,0.043681581
658,0.044030778
659,0.044466157
660,0.045012474
661,0.045565754
662,0.046084274
663,0.046490744
664,0.046688732
665,0.046794377
666,0.046820026
667,0.046777438
668,0.046678156
669,0.046536997
670,0.046367168
671,0.046195474
672,0.046050873
673,0.045893382
674,0.045717556
675,0.045529611
676,0.045335535
677,0.045087088
678,0.044763606
679,0.044331513
680,0.043760333
681,0.043072797
682,0.042263985
683,0.04128113
684,0.040092908
685,0.038841277
686,0.037575681
687,0.036353588
688,0.03522741
689,0.034223996
690,0.033384256
691,0.032846566
692,0.032670166
693,0.032645471
694,0.032716233
695,0.032759648
696,0.032718722
697,0.032691952
698,0.032684889
699,0.032702897
700,0.032751549
701,0.032836769
702,0.032964248
703,0.033187952
704,0.033499371
705,0.033812292
706,0.034093276
707,0.034343954
708,0.03451569
709,0.034514897
710,0.034281507
711,0.033590257
712,0.032473724
713,0.031126063
714,0.029604534
715,0.027926678
716,0.026176486
717,0.024466194
718,0.022879561
719,0.021660503
720,0.020768812
721,0.020088181
722,0.019601379
723,0.019284071
724,0.019125214
725,0.019115523
726,0.019241992
727,0.019455723
728,0.019778389
729,0.020232571
