wv,spd
360,0.078199036
361,0.080499247
362,0.083269358
363,0.086181343
364,0.088974617
365,0.091455817
366,0.092766181
367,0.093417123
368,0.09376879
369,0.093964845
370,0.094445109
371,0.095051162
372,0.095665626
373,0.096278563
374,0.097057529
375,0.097820424
376,0.098389089
377,0.09865851
378,0.098033741
379,0.096858583
380,0.095527656
381,0.094207622
382,0.093259968
383,0.092684358
384,0.092433676
385,0.092562594
386,0.093455657
387,0.094906457
388,0.096578017
389,0.098327428
390,0.099274218
391,0.099810168
392,0.100735046
393,0.102365956
394,0.10583926
395,0.110934526
396,0.116846763
397,0.123362042
398,0.130413741
399,0.137703329
400,0.144798875
401,0.151386634
402,0.156505555
403,0.160153434
404,0.163057074
405,0.165363714
406,0.167286709
407,0.168948129
408,0.170379996
409,0.171680063
410,0.173164129
411,0.174873322
412,0.176489711
413,0.177938193
414,0.179015279
415,0.179659411
416,0.180067807
417,0.18027468
418,0.180420294
419,0.180544078
420,0.180432677
421,0.180023685
422,0.179033935
423,0.177352935
424,0.175484031
425,0.173579857
426,0.17181915
427,0.170366123
428,0.169298068
429,0.168739811
430,0.169029802
431,0.170434967
432,0.172398746
433,0.174800292
434,0.177502558
435,0.180370376
436,0.183339223
437,0.18630816
438,0.1890468
439,0.191294014
440,0.193463668
441,0.195631862
442,0.197982162
443,0.20076859
444,0.203577563
445,0.206320733
446,0.208864853
447,0.211022913
448,0.212944523
449,0.214619294
450,0.216007963
451,0.217010647
452,0.217806265
453,0.21844475
454,0.218995899
455,0.219599381
456,0.220135391
457,0.220601305
458,0.221003488
459,0.221399903
460,0.221683308
461,0.221819386
462,0.221753404
463,0.22121273
464,0.220540673
465,0.219814077
466,0.219114855
467,0.218658268
468,0.218317166
469,0.218109727
470,0.218054175
471,0.218289629
472,0.218666047
473,0.219153732
474,0.219723284
475,0.220555827
476,0.221336752
477,0.221943229
478,0.222260386
479,0.221733645
480,0.220827609
481,0.219642878
482,0.218248069
483,0.216533735
484,0.214796245
485,0.213200241
486,0.211890817
487,0.211510167
488,0.211589575
489,0.211977884
490,0.212599725
491,0.213519275
492,0.214495212
493,0.215360597
494,0.215976015
495,0.215773106
496,0.215102583
497,0.214132503
498,0.212927014
499,0.211444378
500,0.209864363
501,0.208334044
502,0.206969619
503,0.206208095
504,0.205833778
505,0.20568727
506,0.205720782
507,0.206028119
508,0.206423581
509,0.206726521
510,0.206813857
511,0.206110135
512,0.204902589
513,0.203534633
514,0.202135056
515,0.20097208
516,0.20005694
517,0.199363053
518,0.198938534
519,0.199055821
520,0.199592039
521,0.200321019
522,0.201154679
523,0.20188652
524,0.202508196
525,0.203091219
526,0.203623414
527,0.204065174
528,0.204420671
529,0.204717785
530,0.204962865
531,0.205243319
532,0.20552443
533,0.205685064
534,0.205674633
535,0.205273658
536,0.204498947
537,0.203590855
538,0.202624395
539,0.201738179
540,0.200987175
541,0.200329363
542,0.199790254
543,0.199448019
544,0.199315235
545,0.199315697
546,0.199432641
547,0.199709818
548,0.200121284
549,0.200525388
550,0.200854555
551,0.200941503
552,0.20072256
553,0.200351179
554,0.199847594
555,0.19923307
556,0.198527947
557,0.197750047
558,0.196918681
559,0.196097508
560,0.195316717
561,0.194479898
562,0.193562463
563,0.192481175
564,0.191187605
565,0.189823464
566,0.188425943
567,0.187020764
568,0.185638636
569,0.184351742
570,0.183210015
571,0.182301566
572,0.181702882
573,0.181340352
574,0.181219369
575,0.181430265
576,0.182049111
577,0.18279013
578,0.183555007
579,0.18430461
580,0.184999391
581,0.185324699
582,0.185106143
583,0.183879942
584,0.181138396
585,0.177828088
586,0.174164429
587,0.17036587
588,0.166651756
589,0.163225234
590,0.160297468
591,0.158279061
592,0.157678381
593,0.157840386
594,0.158681154
595,0.160157561
596,0.162254512
597,0.164699703
598,0.167345732
599,0.169990942
600,0.172387004
601,0.174650148
602,0.176721171
603,0.178505689
604,0.179872453
605,0.180942759
606,0.181717381
607,0.182157755
608,0.182178527
609,0.181989908
610,0.181661889
611,0.181298658
612,0.181050166
613,0.180797145
614,0.180547327
615,0.180332258
616,0.180217534
617,0.180076018
618,0.179871202
619,0.179561034
620,0.179095238
621,0.178469092
622,0.177656502
623,0.176546186
624,0.174893796
625,0.173171207
626,0.171515033
627,0.170132741
628,0.169352084
629,0.168881685
630,0.168718919
631,0.168898538
632,0.1695216
633,0.170355648
634,0.171323359
635,0.172369659
636,0.173478678
637,0.174436763
638,0.175122306
639,0.175324365
640,0.174679413
641,0.173607618
642,0.172164083
643,0.170366138
644,0.168173581
645,0.165860772
646,0.163554788
647,0.16143322
648,0.159740672
649,0.158324599
650,0.157219619
651,0.15647696
652,0.15616633
653,0.156235293
654,0.156689405
655,0.157573923
656,0.158969477
657,0.160686105
658,0.162663504
659,0.164886326
660,0.167371273
661,0.169847921
662,0.172184691
663,0.174128339
664,0.175360128
665,0.17628856
666,0.176967055
667,0.177480027
668,0.177922606
669,0.178218901
670,0.178377524
671,0.178391218
672,0.178250208
673,0.178025156
674,0.177746385
675,0.177578047
676,0.177681684
677,0.177596986
678,0.177179843
679,0.176142246
680,0.17423059
681,0.171784788
682,0.168836251
683,0.165289938
684,0.161107466
685,0.156708583
686,0.152268454
687,0.148004025
688,0.144105956
689,0.140631557
690,0.13771145
691,0.135767385
692,0.134984747
693,0.13474597
694,0.13489148
695,0.135097712
696,0.135203272
697,0.135429934
698,0.13577041
699,0.136159509
700,0.136598647
701,0.137202248
702,0.138013199
703,0.13931337
704,0.141075268
705,0.142886519
706,0.144596115
707,0.146240786
708,0.147588179
709,0.148165494
710,0.147679314
711,0.145030931
712,0.140378505
713,0.134667695
714,0.128176913
715,0.121083111
716,0.113732979
717,0.106545314
718,0.099866174
719,0.094673604
720,0.090824515
721,0.087875567
722,0.08577434
723,0.08442656
724,0.08381629
725,0.083937906
726,0.084763929
727,0.086212546
728,0.088308722
729,0.091078788
730,0.094525747
731,0.099051319
732,0.104239583
733,0.109742612
734,0.115351275
735,0.12050043
736,0.125384495
737,0.130068853
738,0.134523615
739,0.138739988
740,0.142662629
741,0.146247655
742,0.149455175
743,0.152094051
744,0.154319227
745,0.156177402
746,0.157697201
747,0.159201309
748,0.160317898
749,0.160934687
750,0.160961449
751,0.16069968
752,0.159470111
753,0.157003134
