wv,spd
360,0.015028143
361,0.015517059
362,0.01608103
363,0.016670881
364,0.01724848
365,0.017786691
366,0.018168874
367,0.018462697
368,0.018715478
369,0.01894542
370,0.019191781
371,0.019451277
372,0.019723544
373,0.020015854
374,0.020417662
375,0.020856537
376,0.021261863
377,0.021596901
378,0.021682821
379,0.021613048
380,0.021495728
381,0.021372911
382,0.021329919
383,0.021371707
384,0.021492828
385,0.021710452
386,0.022130964
387,0.022700921
388,0.023331566
389,0.023986632
390,0.024446247
391,0.024807243
392,0.025268018
393,0.025906818
394,0.02698769
395,0.028466968
396,0.030168418
397,0.03204985
398,0.034140162
399,0.036356345
400,0.038550984
401,0.040633723
402,0.042340912
403,0.043665588
404,0.044795956
405,0.045765072
406,0.046605773
407,0.047351193
408,0.048034754
409,0.048689663
410,0.049423974
411,0.050251462
412,0.051062696
413,0.051831573
414,0.052494593
415,0.053029604
416,0.053489815
417,0.053880978
418,0.054224972
419,0.054528326
420,0.054759115
421,0.05490838
422,0.054923922
423,0.054787368
424,0.054600563
425,0.054396659
426,0.054194201
427,0.054019868
428,0.053948868
429,0.054029863
430,0.054384828
431,0.055111196
432,0.056023747
433,0.057086814
434,0.058263585
435,0.05951738
436,0.060816489
437,0.06212664
438,0.063371934
439,0.064466588
440,0.065541886
441,0.066620477
442,0.06775713
443,0.069027632
444,0.070308402
445,0.071572982
446,0.07278274
447,0.07388445
448,0.074916206
449,0.075872689
450,0.076742448
451,0.077501141
452,0.078183703
453,0.078797638
454,0.079350278
455,0.079848424
456,0.080300905
457,0.080715626
458,0.081105687
459,0.081513606
460,0.081887566
461,0.082217433
462,0.082488291
463,0.082634524
464,0.08273387
465,0.082802072
466,0.082855366
467,0.082923882
468,0.083002135
469,0.083099753
470,0.083226368
471,0.083413512
472,0.083640352
473,0.083907843
474,0.084216997
475,0.084655099
476,0.085106298
477,0.085533328
478,0.085902177
479,0.086084381
480,0.08617042
481,0.086172573
482,0.086096272
483,0.085834131
484,0.085535802
485,0.085267499
486,0.085083082
487,0.085201599
488,0.085472882
489,0.085852288
490,0.08632037
491,0.086960599
492,0.087631151
493,0.088245064
494,0.088735685
495,0.088843077
496,0.088721387
497,0.088442452
498,0.088031307
499,0.087438069
500,0.086769566
501,0.086109497
502,0.085519709
503,0.085203156
504,0.085075721
505,0.085078031
506,0.085199818
507,0.085535571
508,0.085972965
509,0.08640343
510,0.08676099
