wv,spd
360,0.000380683
361,0.000392382
362,0.000403742
363,0.000414737
364,0.000425091
365,0.000434282
366,0.000440247
367,0.000444092
368,0.000446575
369,0.000447949
370,0.000448039
371,0.000447541
372,0.000447095
373,0.000447179
374,0.000451003
375,0.000456402
376,0.000461271
377,0.000464629
378,0.000461859
379,0.000455313
380,0.000447719
381,0.000440113
382,0.000435175
383,0.000432532
384,0.00043142
385,0.00043193
386,0.000435083
387,0.000440237
388,0.000446383
389,0.00045306
390,0.000457157
391,0.000460131
392,0.000464901
393,0.000472656
394,0.000487536
395,0.000508793
396,0.000533569
397,0.000561141
398,0.000592085
399,0.000624926
400,0.000657014
401,0.000686738
402,0.000709246
403,0.000724492
404,0.000736086
405,0.000744735
406,0.000751301
407,0.00075643
408,0.000760545
409,0.000764232
410,0.000769404
411,0.0007763
412,0.000782973
413,0.000788954
414,0.000792973
415,0.000794645
416,0.000795205
417,0.000794868
418,0.000794415
419,0.000794088
420,0.000792785
421,0.000790204
422,0.000785095
423,0.000776951
424,0.000767909
425,0.000758596
426,0.000749659
427,0.000741731
428,0.000735382
429,0.000731218
430,0.000730856
431,0.000735576
432,0.00074275
433,0.000751818
434,0.000762152
435,0.000773131
436,0.000784431
437,0.000795575
438,0.000805437
439,0.000812738
440,0.00081958
441,0.000826375
442,0.000834048
443,0.000843859
444,0.000853878
445,0.000863731
446,0.000872917
447,0.000880787
448,0.000887627
449,0.000893277
450,0.000897438
451,0.00089951
452,0.000900264
453,0.000899837
454,0.000898314
455,0.000895606
456,0.000892277
457,0.000888597
458,0.000884934
459,0.000882219
460,0.000879578
461,0.000876935
462,0.000874194
463,0.00087105
464,0.000867787
465,0.000864434
466,0.000861019
467,0.00085751
468,0.000854026
469,0.000850621
470,0.00084735
471,0.000844912
472,0.000842466
473,0.000839812
474,0.000836751
475,0.000832839
476,0.000828209
477,0.000822771
478,0.000816428
479,0.000807971
480,0.000798762
481,0.000789244
482,0.000779782
483,0.000771007
484,0.000762939
485,0.000755798
486,0.000749832
487,0.000746625
488,0.000744776
489,0.000743738
490,0.000743168
491,0.00074312
492,0.000742776
493,0.000741533
494,0.000738864
495,0.000732682
496,0.000724246
497,0.000714145
498,0.000702596
499,0.000688734
500,0.000673951
501,0.000659302
502,0.000645529
503,0.000634971
504,0.000626721
505,0.000620153
506,0.000615196
507,0.000613004
508,0.000612312
509,0.000611897
510,0.000611034
511,0.00060702
512,0.000600927
513,0.000594071
514,0.00058683
515,0.000580165
516,0.000573962
517,0.000567949
518,0.000562168
519,0.000557125
520,0.000552505
521,0.000547779
522,0.000542706
523,0.000536277
524,0.000528765
525,0.000520961
526,0.000513115
527,0.000505702
528,0.000498836
529,0.000492439
530,0.000486608
531,0.000481876
532,0.000478122
533,0.000474755
534,0.000471568
535,0.000468086
536,0.000464207
537,0.000460177
538,0.000455986
539,0.00045148
540,0.000446693
541,0.000441871
542,0.000437114
543,0.000432571
544,0.000428326
545,0.00042438
546,0.00042079
547,0.00041801
548,0.000416036
549,0.000414109
550,0.000411953
551,0.000408831
552,0.000404485
553,0.000399666
554,0.000394506
555,0.000389328
556,0.000384282
557,0.000379043
558,0.000373566
559,0.000367585
560,0.000360999
561,0.000354342
562,0.000347785
563,0.000341804
564,0.000336695
565,0.000331777
566,0.000326909
567,0.00032164
568,0.000315657
569,0.000309747
570,0.000304108
571,0.000298914
572,0.000294349
573,0.000290678
574,0.000288121
575,0.000287329
576,0.00028888
577,0.000291527
578,0.000294969
579,0.000299097
580,0.0003038
581,0.000308073
582,0.000311368
583,0.000312469
584,0.000310061
585,0.000306173
586,0.000301155
587,0.000295262
588,0.000288725
589,0.000282262
590,0.000276351
591,0.000271912
592,0.000270088
593,0.000269416
594,0.000269711
595,0.000270774
596,0.000272395
597,0.000274458
598,0.000276802
599,0.000279152
600,0.000281139
601,0.000283145
602,0.00028519
603,0.000287293
604,0.00028947
605,0.000291749
606,0.000294153
607,0.000296739
608,0.000299607
609,0.000302591
610,0.000305655
611,0.000308759
612,0.000311865
613,0.000314933
614,0.000317922
615,0.000320823
616,0.000323665
617,0.000326246
618,0.000328474
619,0.00033025
620,0.000331468
621,0.000332066
622,0.000331963
623,0.000330758
624,0.000327555
625,0.00032413
626,0.000321008
627,0.000319017
628,0.000319495
629,0.000321146
630,0.000323903
631,0.00032774
632,0.000332704
633,0.000338476
634,0.000344906
635,0.000351985
636,0.000359942
637,0.000367786
638,0.000375095
639,0.000381186
640,0.000384934
641,0.00038749
642,0.000388946
643,0.00038926
644,0.000388194
645,0.000386597
646,0.00038481
647,0.000383309
648,0.000382745
649,0.000382715
650,0.000383312
651,0.000384659
652,0.000386912
653,0.000390011
654,0.000393998
655,0.000398929
656,0.000404871
657,0.000411801
658,0.00041974
659,0.000429032
660,0.00044025
661,0.000451903
662,0.000463498
663,0.000474275
664,0.000483334
665,0.000491362
666,0.000498273
667,0.000503667
668,0.000507037
669,0.000509595
670,0.000511704
671,0.000514123
672,0.000517675
673,0.000521169
674,0.000524422
675,0.000527405
676,0.000530085
677,0.000531719
678,0.000531924
679,0.000530141
680,0.000525856
681,0.000519277
682,0.000510234
683,0.000497322
684,0.00047969
685,0.000460971
686,0.000442404
687,0.000426123
688,0.000413698
689,0.000403845
690,0.000396852
691,0.000394158
692,0.000396266
693,0.000400495
694,0.000405976
695,0.000410935
696,0.000414495
697,0.000417907
698,0.000421152
699,0.000423914
700,0.000426218
701,0.00042866
702,0.000431474
703,0.000435554
704,0.000440939
705,0.000446608
706,0.00045226
707,0.000458767
708,0.00046532
709,0.000469609
710,0.000470442
711,0.000463697
712,0.000449829
713,0.000432157
714,0.000411575
715,0.000388275
716,0.000363618
717,0.000339463
718,0.000317167
719,0.000300925
720,0.000289899
721,0.000281897
722,0.000276488
723,0.000272086
724,0.000269262
725,0.000268871
726,0.000271166
727,0.000277446
728,0.000286953
729,0.000298905
730,0.000312966
731,0.00032879
732,0.000346057
733,0.000364443
734,0.000383621
735,0.00040358
736,0.000423633
737,0.000443211
738,0.000461825
739,0.000477255
740,0.000491117
741,0.000504084
742,0.000516497
743,0.000530477
744,0.000544071
745,0.000556602
746,0.000567604
747,0.000576132
748,0.000582373
749,0.000586091
750,0.000587065
751,0.000587116
752,0.000582954
753,0.000573424
754,0.000556802
755,0.000526386
756,0.000490167
757,0.000449803
758,0.000406194
759,0.000357645
760,0.000312307
761,0.000273923
762,0.000249174
763,0.00024845
764,0.000259296
765,0.000279979
766,0.000309394
767,0.000346542
768,0.000387192
769,0.00042872
770,0.000466741
771,0.000497814
772,0.000524591
773,0.000546452
774,0.000561006
775,0.000567697
776,0.000569957
777,0.00056882
778,0.00056608
779,0.000562466
780,0.00055764
