wv,spd
360,0.310466409
361,0.318415105
362,0.327992797
363,0.338063985
364,0.347728312
365,0.356319726
366,0.361020923
367,0.363444388
368,0.364713579
369,0.365252018
370,0.366046041
371,0.366945118
372,0.367876589
373,0.368972063
374,0.371599585
375,0.374691486
376,0.377207428
377,0.37861672
378,0.376308471
379,0.37165767
380,0.366254866
381,0.360722989
382,0.356235594
383,0.35294345
384,0.350864977
385,0.350306422
386,0.353096634
387,0.358336687
388,0.364525139
389,0.371056259
390,0.374582857
391,0.37648657
392,0.379665643
393,0.385224223
394,0.396872729
395,0.41400525
396,0.434156239
397,0.456740499
398,0.482272655
399,0.509535849
400,0.53631705
401,0.561285734
402,0.580503523
403,0.593895018
404,0.604322195
405,0.612311959
406,0.618498802
407,0.623368621
408,0.627260685
409,0.630621254
410,0.63484019
411,0.640118897
412,0.645104766
413,0.649496257
414,0.652517736
415,0.653917611
416,0.654399157
417,0.654064298
418,0.653276205
419,0.652149498
420,0.650175929
421,0.647219121
422,0.642567575
423,0.635959804
424,0.628733575
425,0.621312857
426,0.614039481
427,0.607300818
428,0.601757705
429,0.597921371
430,0.597090185
431,0.600298882
432,0.605548203
433,0.612444162
434,0.620585263
435,0.629570961
436,0.639033198
437,0.648586988
438,0.657400727
439,0.664536893
440,0.671387196
441,0.678177893
442,0.685487807
443,0.694126487
444,0.702714086
445,0.710937381
446,0.718284428
447,0.724005282
448,0.728840053
449,0.732820868
450,0.735928595
451,0.738037288
452,0.739513099
453,0.74049443
454,0.741172552
455,0.741924167
456,0.742437184
457,0.742710531
458,0.74276799
459,0.742775083
460,0.742443085
461,0.74168396
462,0.74035126
463,0.737678528
464,0.73465246
465,0.73150152
466,0.72846663
467,0.72612375
468,0.724188805
469,0.722742677
470,0.72186631
471,0.722192943
472,0.723035276
473,0.724255502
474,0.725717127
475,0.727898121
476,0.729829669
477,0.731102526
478,0.731330872
479,0.728690565
480,0.724691033
481,0.719650984
482,0.713784754
483,0.706582606
484,0.699184537
485,0.692195117
486,0.686139464
487,0.683196366
488,0.681848764
489,0.681636155
490,0.682350159
491,0.684307575
492,0.68667531
493,0.688900352
494,0.690533042
495,0.689707458
496,0.687592626
497,0.684754312
498,0.68141526
499,0.677788675
500,0.67410773
501,0.670602679
502,0.667500973
503,0.665880382
504,0.665088594
505,0.664622605
506,0.66427505
507,0.663951635
508,0.663335145
509,0.662112474
510,0.660016298
511,0.65542978
512,0.649309754
513,0.642780542
514,0.636326194
515,0.6310274
516,0.626865208
517,0.623659074
518,0.621547937
519,0.621393681
520,0.622784138
521,0.624974251
522,0.62766391
523,0.630228221
524,0.632586002
525,0.63487494
526,0.637003541
527,0.638717055
528,0.640020609
529,0.641059756
530,0.641852319
531,0.642606139
532,0.643242836
533,0.643481195
534,0.643205583
535,0.64185971
536,0.639503717
537,0.636780798
538,0.633902907
539,0.631283879
540,0.62907207
541,0.627107322
542,0.625444472
543,0.624300301
544,0.623689711
545,0.623353601
546,0.623216212
547,0.623253345
548,0.623381317
549,0.623418272
550,0.623245299
551,0.622555494
552,0.621237218
553,0.619587958
554,0.617654324
555,0.615437686
556,0.612980127
557,0.610436678
558,0.60789597
559,0.605591536
560,0.60364753
561,0.601774275
562,0.599916935
563,0.597933233
564,0.595732749
565,0.593508482
566,0.591297448
567,0.589127183
568,0.587029338
569,0.58507061
570,0.583298981
571,0.58180964
572,0.58068347
573,0.579815149
574,0.579197466
575,0.578911483
576,0.579023421
577,0.579223156
578,0.579395413
579,0.579571187
580,0.57978034
581,0.579373896
582,0.578048825
583,0.574987948
584,0.569295883
585,0.562662065
586,0.555476546
587,0.548155904
588,0.541125417
589,0.534665108
590,0.5291273
591,0.525248766
592,0.523954988
593,0.523927033
594,0.524947941
595,0.526787341
596,0.529205859
597,0.532047689
598,0.535116315
599,0.53815186
600,0.540839553
601,0.543292165
602,0.545416653
603,0.547083378
604,0.548123956
605,0.548634291
606,0.548584104
607,0.547842801
608,0.546160281
609,0.544041038
610,0.541631579
611,0.539113939
612,0.536717772
613,0.534392893
614,0.532221019
615,0.530391157
616,0.529245913
617,0.528259218
618,0.527313471
619,0.52625072
620,0.524853766
621,0.523235261
622,0.521353304
623,0.519049704
624,0.515985608
625,0.512796223
626,0.50966084
627,0.506838679
628,0.50472492
629,0.503015339
630,0.501732111
631,0.500976861
632,0.500992596
633,0.501311421
634,0.501796067
635,0.502308846
636,0.502710819
637,0.502868652
638,0.502646327
639,0.501810193
640,0.49995935
641,0.497551292
642,0.494643658
643,0.491246343
644,0.487296611
645,0.483129144
646,0.478892535
647,0.474788994
648,0.471091807
649,0.467652857
650,0.46452263
651,0.461715192
652,0.459204227
653,0.457230717
654,0.455908656
655,0.455469221
656,0.456248015
657,0.457781762
658,0.459990144
659,0.462945819
660,0.466830939
661,0.47084868
662,0.474675566
663,0.477716237
664,0.479228914
665,0.480097294
666,0.48041141
667,0.480258077
668,0.479722947
669,0.478909522
670,0.477912456
671,0.476919055
672,0.47613129
673,0.475281686
674,0.474337965
675,0.473363191
676,0.472418636
677,0.471121967
678,0.469316483
679,0.466736704
680,0.463143229
681,0.458744735
682,0.45351696
683,0.447084963
684,0.439230919
685,0.431007475
686,0.422789007
687,0.415113032
688,0.408414245
689,0.402607173
690,0.397892386
691,0.395018429
692,0.394288868
693,0.394496024
694,0.395294189
695,0.395930409
696,0.396054476
697,0.396267772
698,0.396602809
699,0.3970716
700,0.397709727
701,0.398592949
702,0.399771601
703,0.401636422
704,0.404137552
705,0.406676978
706,0.409028888
707,0.411359817
708,0.41327402
709,0.413873166
710,0.412633777
711,0.407708138
712,0.399315417
713,0.388969809
714,0.377088279
715,0.36359787
716,0.34924522
717,0.335125506
718,0.321982443
719,0.311975747
720,0.304753333
721,0.299290329
722,0.295437783
723,0.292926282
724,0.291711837
725,0.291780144
726,0.293054014
727,0.295304388
728,0.298600674
729,0.303016007
730,0.308558375
731,0.315941721
732,0.324432313
733,0.333416671
734,0.342527211
735,0.350823134
736,0.35858649
737,0.365891576
738,0.372659385
739,0.378715217
740,0.384096086
741,0.388787061
742,0.392754793
743,0.395732582
744,0.397987723
745,0.399620533
746,0.400703371
747,0.401744694
748,0.40222311
749,0.402002007
750,0.400987208
751,0.400167912
752,0.397820801
753,0.393355578
754,0.385923266
755,0.372397244
756,0.356368572
757,0.338532299
758,0.319226295
759,0.297566593
760,0.277308106
761,0.260129392
762,0.249023736
763,0.248646751
764,0.253421664
