wv,spd
360,0.002335822
361,0.00240646
362,0.002485373
363,0.002565395
364,0.002640538
365,0.002705987
366,0.002737516
367,0.002750867
368,0.002757373
369,0.002762048
370,0.002783626
371,0.002813132
372,0.002843491
373,0.002872605
374,0.002898928
375,0.002919826
376,0.002932676
377,0.002935084
378,0.002910942
379,0.002870418
380,0.002825098
381,0.002780192
382,0.002747198
383,0.002725933
384,0.002714703
385,0.002715099
386,0.002739088
387,0.002780053
388,0.002827268
389,0.002876114
390,0.002898523
391,0.002906871
392,0.002926504
393,0.002967426
394,0.003065579
395,0.003213946
396,0.003386999
397,0.003577925
398,0.003783933
399,0.003995902
400,0.00420107
401,0.004389901
402,0.00453213
403,0.004628197
404,0.004701889
405,0.004758433
406,0.004807054
407,0.004851456
408,0.004889897
409,0.00492461
410,0.004963006
411,0.005005975
412,0.005045876
413,0.005080836
414,0.005106017
415,0.005119862
416,0.005126784
417,0.005127437
418,0.005124496
419,0.005118712
420,0.005106017
421,0.00508522
422,0.005049938
423,0.004997851
424,0.004941075
425,0.004883476
426,0.004829005
427,0.004781568
428,0.004744787
429,0.004722441
430,0.004725166
431,0.004761305
432,0.00481275
433,0.004875388
434,0.004943653
435,0.005012142
436,0.005081811
437,0.005150341
438,0.005212105
439,0.005260691
440,0.005306923
441,0.005353002
442,0.005403967
443,0.005466723
444,0.005530522
445,0.005593216
446,0.005651915
447,0.005702852
448,0.005747788
449,0.005785857
450,0.005815445
451,0.005833375
452,0.005843669
453,0.005847017
454,0.005843903
455,0.005834093
456,0.005820025
457,0.00580293
458,0.005784487
459,0.005768894
460,0.00575226
461,0.005734269
462,0.005714344
463,0.00568915
464,0.005663153
465,0.005637446
466,0.00561328
467,0.005596132
468,0.005580629
469,0.005566001
470,0.005551483
471,0.005534675
472,0.005517076
473,0.005498562
474,0.005479005
475,0.005462144
476,0.005442617
477,0.005418583
478,0.005388346
479,0.005341279
480,0.005287457
481,0.005229561
482,0.005169623
483,0.005108237
484,0.005049274
485,0.00499554
486,0.004949685
487,0.004925629
488,0.004912103
489,0.004905037
490,0.004902078
491,0.004903351
492,0.004903562
493,0.00489874
494,0.004885398
495,0.004848179
496,0.004797162
497,0.004737373
498,0.004670959
499,0.004598479
500,0.004523819
501,0.004450368
502,0.004381058
503,0.004325115
504,0.004278953
505,0.004240089
506,0.004208232
507,0.004189295
508,0.004176944
509,0.004165066
510,0.004150073
511,0.004118089
512,0.004074853
513,0.004027378
514,0.0039778
515,0.003930514
516,0.00388575
517,0.003843122
518,0.003803459
519,0.003771556
520,0.003745215
521,0.003720406
522,0.003695544
523,0.003665969
524,0.003632168
525,0.003596701
526,0.003559955
527,0.003521238
528,0.00348158
529,0.003442941
530,0.003406434
531,0.003376726
532,0.003353132
533,0.003331182
534,0.003309492
535,0.003284356
536,0.003255322
537,0.003225012
538,0.003193774
539,0.003161845
540,0.003129608
541,0.003097615
542,0.0030663
543,0.003036374
544,0.003008202
545,0.002981687
546,0.002957041
547,0.002936396
548,0.002919674
549,0.00290313
550,0.00288537
551,0.002863036
552,0.002834809
553,0.002803638
554,0.002769854
555,0.002733917
556,0.002696172
557,0.00265663
558,0.002615501
559,0.002572715
560,0.002528412
561,0.002483519
562,0.002438516
563,0.002394046
564,0.002350655
565,0.002308364
566,0.002267481
567,0.002227953
568,0.002189883
569,0.002154696
570,0.002123106
571,0.002096207
572,0.002074976
573,0.002058914
574,0.002048298
575,0.002045396
576,0.002052143
577,0.002061997
578,0.002072803
579,0.002081271
580,0.002084112
581,0.002083346
582,0.002078286
583,0.00206737
584,0.002048901
585,0.002025593
586,0.001997942
587,0.001965274
588,0.00192655
589,0.001887062
590,0.001848956
591,0.001816131
592,0.001793343
593,0.001775135
594,0.001761064
595,0.001750262
596,0.001741573
597,0.00173651
598,0.001735289
599,0.001739078
600,0.001749865
601,0.00176324
602,0.001777872
603,0.001791539
604,0.001801082
605,0.001809744
606,0.001817714
607,0.001825131
608,0.001832078
609,0.001839002
610,0.001846176
611,0.001854171
612,0.001863951
613,0.001874156
614,0.001884521
615,0.001894757
616,0.001904538
617,0.001913746
618,0.001922168
619,0.001929951
620,0.001937779
621,0.001943357
622,0.001945787
