wv,spd
360,0.03772302
361,0.038849611
362,0.040166285
363,0.041539785
364,0.042859182
365,0.044035815
366,0.044681348
367,0.045024533
368,0.045226
369,0.045348871
370,0.04556499
371,0.045826595
372,0.046100974
373,0.046394873
374,0.04684842
375,0.047338977
376,0.047746848
377,0.048007336
378,0.047781345
379,0.04725552
380,0.046644956
381,0.046037093
382,0.045628216
383,0.045412462
384,0.045357831
385,0.045489192
386,0.04599281
387,0.046765815
388,0.047641464
389,0.048547961
390,0.049042594
391,0.04932246
392,0.049789831
393,0.050604247
394,0.052326053
395,0.054851815
396,0.057792116
397,0.061046693
398,0.064617984
399,0.068346754
400,0.071980774
401,0.075350203
402,0.07793127
403,0.079724476
404,0.081128955
405,0.082226947
406,0.083146706
407,0.083952919
408,0.084647641
409,0.085278645
410,0.086000793
411,0.086834073
412,0.087622099
413,0.088327758
414,0.088858031
415,0.089181706
416,0.089380257
417,0.089464195
418,0.089475311
419,0.089425646
420,0.089252628
421,0.088938221
422,0.088377319
423,0.087532923
424,0.08661025
425,0.085676104
426,0.084801354
427,0.084054627
428,0.08349105
429,0.083173141
430,0.083268724
431,0.083910368
432,0.084824637
433,0.085952908
434,0.08722876
435,0.088586643
436,0.089995161
437,0.09140531
438,0.092706405
439,0.093773119
440,0.094801784
441,0.095827773
442,0.096938588
443,0.098255835
444,0.099577501
445,0.100859232
446,0.102031477
447,0.102994449
448,0.10383746
449,0.104559936
450,0.10515184
451,0.105583176
452,0.105915613
453,0.106168404
454,0.106367804
455,0.106564641
456,0.106718473
457,0.106830068
458,0.106903553
459,0.106962189
460,0.106967911
461,0.106909744
462,0.106769204
463,0.106447861
464,0.106073275
465,0.105675243
466,0.105285607
467,0.104990542
468,0.104736745
469,0.104530133
470,0.104376592
471,0.104308866
472,0.104295522
473,0.104331829
474,0.104413107
475,0.104653835
476,0.104887977
477,0.105058037
478,0.105110988
479,0.104800105
480,0.104327671
481,0.103735611
482,0.103051759
483,0.102217659
484,0.101371497
485,0.100587629
486,0.09993095
487,0.099685825
488,0.099646121
489,0.099745907
490,0.099952713
491,0.100309357
492,0.100693859
493,0.101024374
494,0.1012339
495,0.101043515
496,0.100628346
497,0.100073278
498,0.099411882
499,0.098642454
500,0.097837046
501,0.097056828
502,0.096352674
503,0.095921986
504,0.095664084
505,0.095503978
506,0.095417671
507,0.095435344
508,0.095480204
509,0.095477417
510,0.09537416
511,0.094915219
512,0.094231345
513,0.093478434
514,0.092716359
515,0.092079669
516,0.091565266
517,0.091149822
518,0.090849981
519,0.090768881
520,0.09085729
521,0.091026098
522,0.09123949
523,0.091414236
524,0.091546394
525,0.091663964
526,0.09176147
527,0.091819145
528,0.091840021
529,0.091839455
530,0.091821589
531,0.091827035
532,0.091841482
533,0.091811731
534,0.09171629
535,0.091470182
536,0.091077283
537,0.090625569
538,0.090140834
539,0.089657806
540,0.089199468
541,0.088775098
542,0.088403508
543,0.088141792
544,0.087999344
545,0.087920994
546,0.087894805
547,0.08792685
548,0.088002443
549,0.088072464
550,0.088109836
551,0.088052198
552,0.087873854
553,0.087625951
554,0.087312482
555,0.086928107
556,0.086475924
557,0.085982382
558,0.085460186
559,0.084947929
560,0.084464692
561,0.083955579
562,0.08340767
563,0.082777046
564,0.082038186
565,0.081266023
566,0.080480285
567,0.079701178
568,0.078948706
569,0.07824102
570,0.077597268
571,0.077043578
572,0.076603957
573,0.076274909
574,0.076067403
575,0.076033875
576,0.076219797
577,0.07649406
578,0.076817021
579,0.077184729
580,0.077592976
581,0.077871762
582,0.077935606
583,0.077571407
584,0.076546706
585,0.075270355
586,0.073828779
587,0.072306491
588,0.070787415
589,0.069365799
590,0.068130746
591,0.067255281
592,0.06695357
593,0.066950232
594,0.06721022
595,0.067709535
596,0.06843178
597,0.069290847
598,0.070234485
599,0.07119444
600,0.072088696
601,0.072942741
602,0.073730342
603,0.074410059
604,0.074924476
605,0.075325392
606,0.075612493
607,0.075770885
608,0.075768359
609,0.075682178
610,0.075537659
611,0.075370289
612,0.075229086
613,0.075083271
614,0.074939713
615,0.074820869
616,0.074771561
617,0.074710235
618,0.074614748
619,0.074454039
620,0.074183829
621,0.073833153
622,0.073396645
623,0.072835103
624,0.072056524
625,0.071253218
626,0.070484385
627,0.069836497
628,0.069442235
629,0.069196299
630,0.069104388
631,0.069197632
632,0.069552302
633,0.070017658
634,0.070548564
635,0.071100011
636,0.071627155
637,0.072084226
638,0.072425865
639,0.072575606
640,0.072403722
641,0.072053865
642,0.071542338
643,0.070863381
644,0.069977552
645,0.069029406
646,0.068077363
647,0.067206487
648,0.066537172
649,0.065980338
650,0.065545619
651,0.065243892
652,0.0650874
653,0.065079287
654,0.065227017
655,0.065558441
656,0.066119544
657,0.06681741
658,0.067625701
659,0.068535656
660,0.069551073
661,0.070563346
662,0.07151822
663,0.072314434
664,0.072825477
665,0.07320565
666,0.073472135
667,0.073643684
668,0.073739558
669,0.073770471
670,0.073751353
671,0.073709019
672,0.073672146
673,0.073609278
674,0.073519088
675,0.073437579
676,0.073399998
677,0.073268145
678,0.072992027
679,0.072488971
680,0.0716841
681,0.070637353
682,0.069338605
683,0.067672335
684,0.065570258
685,0.063345827
686,0.061108705
687,0.059009749
688,0.057173852
689,0.055594519
690,0.054337498
691,0.053642809
692,0.053608965
693,0.053853881
694,0.054269604
695,0.05463206
696,0.054832008
697,0.055031486
698,0.055230357
699,0.055397965
700,0.055538766
701,0.055716749
702,0.0559582
703,0.056388229
704,0.057004027
705,0.057643656
706,0.058253236
707,0.058868919
708,0.059397824
709,0.059631739
710,0.059448481
711,0.058404922
712,0.056558855
713,0.054281939
714,0.051679891
715,0.048793022
716,0.045771077
717,0.042810336
718,0.040060155
719,0.03795629
720,0.03642644
721,0.035262223
722,0.03443243
723,0.033866324
724,0.033567127
725,0.033547834
726,0.033800766
727,0.034308758
728,0.035073299
729,0.036096107
730,0.037374828
731,0.039037168
732,0.040944133
733,0.042978905
734,0.045069933
735,0.047043808
736,0.048944455
737,0.050778881
738,0.052526843
739,0.054159552
740,0.055667128
741,0.057035044
742,0.058247142
743,0.059241682
744,0.060061198
745,0.060715597
746,0.061209362
747,0.061593466
748,0.061809052
749,0.061838299
750,0.061670616
751,0.061551936
752,0.061085943
753,0.060144573
754,0.058542632
755,0.055591784
756,0.05208765
757,0.04818612
758,0.043969549
759,0.039268803
760,0.034869615
761,0.031130299
762,0.028682152
763,0.028501548
764,0.029440563
765,0.031348284
766,0.034179691
767,0.037907679
768,0.041959859
769,0.046035063
770,0.049571011
771,0.052145209
772,0.054238547
773,0.05584649
774,0.056841675
775,0.057224106
776,0.057271123
777,0.057093177
778,0.056973435
779,0.056953497
780,0.056834545
