wv,spd
360,0.030860996
361,0.031676002
362,0.032725889
363,0.033858936
364,0.034958422
365,0.035942484
366,0.036453478
367,0.036701653
368,0.036834586
369,0.036910098
370,0.037100688
371,0.037347239
372,0.03760653
373,0.037876926
374,0.038242698
375,0.038618907
376,0.038922511
377,0.039105877
378,0.038912769
379,0.038486645
380,0.037992585
381,0.037498631
382,0.037150148
383,0.036948886
384,0.036877997
385,0.036961053
386,0.037361201
387,0.037991546
388,0.038709946
389,0.039456379
390,0.039871935
391,0.040113255
392,0.040502328
393,0.041165534
394,0.042542152
395,0.044553276
396,0.046896745
397,0.049496133
398,0.052365836
399,0.055377271
400,0.058319602
401,0.061054859
402,0.063163392
403,0.064642794
404,0.065807961
405,0.066721559
406,0.067475982
407,0.068122566
408,0.068672135
409,0.069165096
410,0.06972909
411,0.070381857
412,0.070997462
413,0.071547113
414,0.071957901
415,0.072205715
416,0.072355404
417,0.072415791
418,0.072422788
419,0.072386548
420,0.072252624
421,0.072005145
422,0.071557686
423,0.07087902
424,0.070134088
425,0.069375746
426,0.068658225
427,0.068034977
428,0.067554906
429,0.067269407
430,0.067314647
431,0.067798376
432,0.068501651
433,0.069378376
434,0.07037852
435,0.071452476
436,0.072567932
437,0.073683664
438,0.074705079
439,0.075524934
440,0.076314211
441,0.077104688
442,0.077974468
443,0.079032049
444,0.080098003
445,0.081133179
446,0.082075045
447,0.082833119
448,0.083492033
449,0.084053181
450,0.084511623
451,0.084849052
452,0.085108541
453,0.085304745
454,0.085457869
455,0.085607484
456,0.085721165
457,0.085798986
458,0.085843466
459,0.085870951
460,0.085853435
461,0.085782491
462,0.085643776
463,0.085359849
464,0.085031636
465,0.084682897
466,0.084339045
467,0.084069014
468,0.083829992
469,0.083626583
470,0.083463408
471,0.083361313
472,0.083302341
473,0.083284691
474,0.083306573
475,0.083465487
476,0.083625227
477,0.083740011
478,0.083767802
479,0.083518095
480,0.083144501
481,0.082677692
482,0.082137585
483,0.08146736
484,0.080785044
485,0.080151886
486,0.079620749
487,0.079425462
488,0.079395376
489,0.079475462
490,0.07963828
491,0.079916969
492,0.080212057
493,0.080456391
494,0.080594733
495,0.080399118
496,0.080011688
497,0.07950104
498,0.078893937
499,0.078174233
500,0.077415504
501,0.076678075
502,0.076009758
503,0.075587422
504,0.0753254
505,0.075160652
506,0.075075053
507,0.075105913
508,0.075181089
509,0.075230405
510,0.075206243
511,0.07489641
512,0.074402533
513,0.073846683
514,0.073272839
515,0.072772287
516,0.072349146
517,0.071994729
518,0.071725644
519,0.071633518
520,0.071677826
521,0.071783528
522,0.071921743
523,0.072023153
524,0.072086103
525,0.072136164
526,0.072170369
527,0.07217592
528,0.072155684
529,0.072121039
530,0.07207562
531,0.072054811
532,0.072046198
533,0.072003566
534,0.071908265
535,0.071688026
536,0.071345642
537,0.070954904
538,0.070537075
539,0.070120528
540,0.069724292
541,0.069356613
542,0.069033235
543,0.06879998
544,0.068665221
545,0.06858661
546,0.068555757
547,0.068583697
548,0.068659097
549,0.068733454
550,0.068782061
551,0.068747856
552,0.06860739
553,0.068407685
554,0.068152532
555,0.067841254
556,0.067477219
557,0.06707494
558,0.066642351
559,0.066204369
560,0.065773085
561,0.065312244
562,0.064813048
563,0.064243928
564,0.063586839
565,0.062897414
566,0.062190771
567,0.061476916
568,0.060768064
569,0.06009502
570,0.059478622
571,0.05894861
572,0.058532018
573,0.058220886
574,0.058025669
575,0.057995923
576,0.058174625
577,0.058438253
578,0.058749523
579,0.059101395
580,0.059486605
581,0.059757445
582,0.059837807
583,0.05953946
584,0.058657143
585,0.057549093
586,0.056290247
587,0.05495112
588,0.05360084
589,0.052332461
590,0.051227156
591,0.050440639
592,0.050165184
593,0.050158124
594,0.050390318
595,0.0508423
596,0.051501282
597,0.052293353
598,0.053174283
599,0.054091457
600,0.05498502
601,0.055851523
602,0.05666038
603,0.057361178
604,0.05788273
605,0.05829611
606,0.058604505
607,0.05880142
608,0.058868859
609,0.058861524
610,0.058799624
611,0.058710713
612,0.058632158
613,0.058543563
614,0.058451787
615,0.058378737
616,0.058367886
617,0.058340751
618,0.058276173
619,0.058142219
620,0.057891011
621,0.057563219
622,0.057157956
623,0.056647774
624,0.055963747
625,0.055260237
626,0.054587077
627,0.054014742
628,0.053648744
629,0.053414259
630,0.053320568
631,0.053402375
632,0.053739525
633,0.054184891
634,0.05469694
635,0.055236232
636,0.055767037
637,0.056234941
638,0.056594227
639,0.056766402
640,0.056616947
641,0.056299023
642,0.055831775
643,0.055217195
644,0.054431107
645,0.053592347
646,0.052752785
647,0.051985718
648,0.05139282
649,0.050907463
650,0.050542336
651,0.050316941
652,0.050258365
653,0.050343569
654,0.050573323
655,0.050964497
656,0.051548332
657,0.05224622
658,0.053032208
659,0.053889349
660,0.054807123
661,0.055717435
662,0.056580037
663,0.057322219
664,0.05785381
665,0.058278609
666,0.058605712
667,0.058840867
668,0.05898869
669,0.059072163
670,0.059105176
671,0.059111726
672,0.059117381
673,0.059096638
674,0.059049577
675,0.059010826
676,0.059014343
677,0.058933493
678,0.058723304
679,0.058309626
680,0.057625275
681,0.056723423
682,0.055594683
683,0.054138377
684,0.052294735
685,0.050334688
686,0.04835261
