wv,spd
360,0.104714543
361,0.10749203
362,0.110990107
363,0.114724055
364,0.118312433
365,0.121476755
366,0.122953363
367,0.123507209
368,0.123679295
369,0.123690076
370,0.124259867
371,0.125099346
372,0.125988439
373,0.126888424
374,0.127936319
375,0.128922924
376,0.129642919
377,0.129963458
378,0.129118517
379,0.127555221
380,0.125786334
381,0.124030083
382,0.122754827
383,0.121964343
384,0.121602282
385,0.121743038
386,0.122904979
387,0.124811083
388,0.127008647
389,0.129306138
390,0.130559415
391,0.131267548
392,0.132456511
393,0.134528935
394,0.138893366
395,0.145292386
396,0.15275079
397,0.161019132
398,0.170115218
399,0.179636121
400,0.18893683
401,0.197586805
402,0.204291403
403,0.209035963
404,0.212778971
405,0.21570529
406,0.218057171
407,0.2199976
408,0.221611381
409,0.223040357
410,0.224733666
411,0.226753384
412,0.228655741
413,0.23033905
414,0.231532052
415,0.232150972
416,0.232453942
417,0.23248376
418,0.232406124
419,0.232269853
420,0.231830776
421,0.231019661
422,0.229507923
423,0.227169842
424,0.224601001
425,0.221984819
426,0.219527408
427,0.217422232
428,0.215787455
429,0.214782447
430,0.214828566
431,0.21625945
432,0.21839869
433,0.221104324
434,0.224228516
435,0.227624059
436,0.231169373
437,0.234729648
438,0.238005102
439,0.240656778
440,0.243206099
441,0.245743975
442,0.248496279
443,0.251777351
444,0.255063087
445,0.258237839
446,0.261116385
447,0.263430178
448,0.265432328
449,0.26712808
450,0.268500239
451,0.269484848
452,0.270233423
453,0.270797819
454,0.271250188
455,0.27173388
456,0.272127539
457,0.272429347
458,0.272647709
459,0.272849292
460,0.272913992
461,0.272804201
462,0.272458702
463,0.271564871
464,0.270520777
465,0.269417137
466,0.268350214
467,0.267564714
468,0.266924202
469,0.266454041
470,0.266179591
471,0.266289383
472,0.266581744
473,0.267017454
474,0.267557621
475,0.268424064
476,0.269224733
477,0.269805163
478,0.270020604
479,0.269170076
480,0.267842054
481,0.266164362
482,0.26422447
483,0.26190564
484,0.259556472
485,0.257374436
486,0.255534649
487,0.254793704
488,0.254608661
489,0.254808068
490,0.255309135
491,0.256203204
492,0.25720036
493,0.258103549
494,0.258750081
495,0.25847882
496,0.257696539
497,0.256597668
498,0.255256027
499,0.253661186
500,0.251978844
501,0.250348747
502,0.248886019
503,0.248051912
504,0.24760358
505,0.247358888
506,0.24725613
507,0.247357056
508,0.247479647
509,0.247446328
510,0.247129694
511,0.245878145
512,0.244039744
513,0.24202767
514,0.240006387
515,0.238332614
516,0.237008736
517,0.235985026
518,0.235314757
519,0.235305592
520,0.235816866
521,0.236590654
522,0.237525746
523,0.238410637
524,0.239218339
525,0.239996165
526,0.240713596
527,0.241274714
528,0.241687775
529,0.242017388
530,0.242276907
531,0.242585644
532,0.242903307
533,0.243076771
534,0.243044987
535,0.242535815
536,0.241572514
537,0.240457878
538,0.239287958
539,0.238261953
540,0.237443432
541,0.236738458
542,0.236162782
543,0.235772774
544,0.235574201
545,0.235504255
546,0.235546038
547,0.235747248
548,0.236081153
549,0.236397713
550,0.23662585
551,0.236584589
552,0.236207157
553,0.235666126
554,0.234987214
555,0.234194279
556,0.233312905
557,0.232373297
558,0.231402978
559,0.230485201
560,0.229661167
561,0.228812769
562,0.227912322
563,0.226879343
564,0.225664675
565,0.224390149
566,0.2230836
567,0.221754804
568,0.220421433
569,0.219166368
