wv,spd
360,0.12794143
361,0.131039947
362,0.135104135
363,0.139512911
364,0.143797904
365,0.14764294
366,0.149689868
367,0.15072611
368,0.151302218
369,0.151629731
370,0.152292013
371,0.153121382
372,0.154001683
373,0.154951647
374,0.156410784
375,0.157989711
376,0.159308285
377,0.160159856
378,0.159505472
379,0.1579009
380,0.155988216
381,0.154022276
382,0.152475253
383,0.151415721
384,0.150860041
385,0.150938153
386,0.152414426
387,0.154916614
388,0.157821357
389,0.160878569
390,0.162664115
391,0.163779005
392,0.165473625
393,0.168230116
394,0.173714325
395,0.181631714
396,0.190843105
397,0.201063365
398,0.212386534
399,0.224309728
400,0.235986516
401,0.246874809
402,0.255370796
403,0.261443377
404,0.266257167
405,0.270026267
406,0.272981197
407,0.275329739
408,0.277257174
409,0.278965205
410,0.281086385
411,0.28371051
412,0.286218107
413,0.288469404
414,0.290109873
415,0.29102239
416,0.291522712
417,0.291653901
418,0.29156521
419,0.291304916
420,0.290668398
421,0.289602101
422,0.287797928
423,0.285146892
424,0.282247663
425,0.27929455
426,0.276459366
427,0.273926497
428,0.271954983
429,0.27076304
430,0.270912677
431,0.272850782
432,0.27569887
433,0.279279709
434,0.283410966
435,0.287910908
436,0.292620063
437,0.297367454
438,0.301781118
439,0.30544132
440,0.30897668
441,0.312491298
442,0.316247523
443,0.320611447
444,0.324965864
445,0.329172671
446,0.333006829
447,0.336139262
448,0.338892221
449,0.341278464
450,0.343297362
451,0.344920486
452,0.346247643
453,0.347319275
454,0.348183244
455,0.348913163
456,0.349486709
457,0.349924952
458,0.350268424
459,0.350669205
460,0.350922167
461,0.350979984
462,0.350767344
463,0.349911749
464,0.348880976
465,0.347779393
466,0.346717656
467,0.345975637
468,0.345398843
469,0.345017225
470,0.344860613
471,0.345123321
472,0.345606565
473,0.346275151
474,0.347094268
475,0.348383456
476,0.349627942
477,0.350635618
478,0.351227909
479,0.350629628
480,0.349448264
481,0.347797453
482,0.34574756
483,0.342943132
484,0.339998871
485,0.337214559
486,0.334843248
487,0.333909452
488,0.333713651
489,0.334049165
490,0.334826916
491,0.336265981
492,0.337910801
493,0.339470118
494,0.340713412
495,0.340730906
496,0.340068221
497,0.338981658
498,0.337563038
499,0.335781783
500,0.333863348
501,0.331995457
502,0.330330044
503,0.3294608
504,0.329082787
505,0.328968555
506,0.329044312
507,0.329417199
508,0.329837173
509,0.33006078
510,0.329917997
511,0.328548908
512,0.32640931
513,0.324040741
514,0.32165727
515,0.319708139
516,0.31820932
517,0.317113161
518,0.316497862
519,0.316799641
520,0.317823797
521,0.319210798
522,0.320821434
523,0.322361976
524,0.323797345
525,0.325196803
526,0.326520383
527,0.327650398
528,0.328592986
529,0.329421312
530,0.330147624
531,0.330920935
532,0.331684232
533,0.33223477
534,0.332488686
535,0.332080781
536,0.331039637
537,0.329766273
538,0.328386217
539,0.327133864
540,0.326100439
541,0.325211078
542,0.324506491
543,0.324121535
544,0.324073881
545,0.324222565
546,0.324532777
547,0.325030416
548,0.325671464
549,0.326296031
550,0.326818466
551,0.327031583
552,0.326854467
553,0.326470613
554,0.32590133
555,0.325149953
556,0.324236006
557,0.323223859
558,0.322151452
559,0.321130157
560,0.32021597
561,0.319255412
562,0.318213969
563,0.316989124
564,0.315518647
565,0.313960493
566,0.312351525
567,0.310705334
568,0.309045672
569,0.307480693
570,0.306073308
571,0.304938495
572,0.304175466
573,0.303678364
574,0.303449273
575,0.303579032
576,0.304143578
577,0.304840654
578,0.305563867
579,0.306308627
580,0.30706954
581,0.307368636
582,0.306968927
583,0.305250168
584,0.301533967
585,0.297067672
586,0.2921305
587,0.28698957
588,0.281908333
