wv,spd
360,0.329251021
361,0.338979602
362,0.349902779
363,0.360998124
364,0.371411502
365,0.380456567
366,0.384929925
367,0.386811286
368,0.387508214
369,0.387609243
370,0.388808429
371,0.390566826
372,0.392498642
373,0.394619137
374,0.397985131
375,0.401601702
376,0.404496938
377,0.406128287
378,0.40360263
379,0.398530632
380,0.392766595
381,0.387071341
382,0.383180171
383,0.381018519
384,0.380277663
385,0.381158233
386,0.385160804
387,0.391456991
388,0.398703843
389,0.406323284
390,0.410764068
391,0.413603455
392,0.418063194
393,0.425419509
394,0.440203369
395,0.461555392
396,0.486293882
397,0.513585269
398,0.543423891
399,0.574500799
400,0.60475713
401,0.632798433
402,0.654299796
403,0.669277072
404,0.681046426
405,0.690300524
406,0.698104739
407,0.70500958
408,0.711057365
409,0.716661155
410,0.723193705
411,0.730819046
412,0.738121212
413,0.744752765
414,0.749825835
415,0.753050029
416,0.755224526
417,0.756462216
418,0.757189989
419,0.757535994
420,0.75688076
421,0.755051255
422,0.751103461
423,0.744696617
424,0.737633705
425,0.730492771
426,0.72386384
427,0.718330264
428,0.714435637
429,0.712745249
430,0.714780569
431,0.721742928
432,0.731147826
433,0.742460847
434,0.755051792
435,0.768301368
436,0.782009304
437,0.79575932
438,0.808621585
439,0.819544613
440,0.830154002
441,0.840735853
442,0.852027714
443,0.86506319
444,0.878070652
445,0.890645206
446,0.902125835
447,0.911544919
448,0.919854403
449,0.927094042
450,0.933239758
451,0.938133955
452,0.942233562
453,0.945711017
454,0.948812604
455,0.952042878
456,0.954946518
457,0.957501769
458,0.959705651
459,0.961663365
460,0.963133574
461,0.96402812
462,0.964187503
463,0.962695479
464,0.960775614
465,0.958726048
466,0.956863523
467,0.956005335
468,0.955684006
469,0.955977261
470,0.956962943
471,0.959312558
472,0.962278128
473,0.965702295
474,0.969429195
475,0.974218488
476,0.978674114
477,0.982233822
478,0.984370112
479,0.982468247
480,0.978751302
481,0.973714471
482,0.967701316
483,0.960293233
484,0.952808261
485,0.946000576
486,0.94054091
487,0.939412951
488,0.940431178
489,0.942887425
490,0.946426451
491,0.951237381
492,0.956317484
493,0.96095413
494,0.96454215
495,0.964503348
496,0.962486982
497,0.959301889
498,0.95527935
499,0.950599432
500,0.945758164
501,0.941204727
502,0.937344491
503,0.935917497
504,0.935948193
505,0.936695039
506,0.937881112
507,0.939543605
508,0.941099346
509,0.941976488
510,0.941730857
511,0.937918842
512,0.93190974
513,0.925321162
514,0.91882205
515,0.913998008
516,0.910745203
517,0.908711672
518,0.908036113
519,0.909736633
520,0.913281739
521,0.917734563
522,0.922700047
523,0.927275121
524,0.931406498
525,0.935382903
526,0.939134836
527,0.9425053
528,0.945476413
529,0.948105693
530,0.950382113
531,0.952524066
532,0.954404533
533,0.95565176
534,0.956093669
535,0.954885542
536,0.952123821
537,0.948795378
538,0.945228338
539,0.942000151
540,0.939360559
541,0.937179208
542,0.935590267
543,0.935095727
544,0.935739517
545,0.936945319
546,0.938551962
547,0.940466404
548,0.942517042
549,0.944402337
550,0.945903838
551,0.946457207
552,0.945857525
553,0.944653511
554,0.942931592
555,0.940748751
556,0.938188612
557,0.935407996
558,0.932520747
559,0.929876745
560,0.927647829
561,0.925331175
562,0.922806799
563,0.919693649
564,0.915765703
565,0.911642492
566,0.90747869
567,0.903447449
568,0.899713874
569,0.896375954
570,0.89356786
571,0.891563416
572,0.890594065
573,0.890340507
574,0.890773177
575,0.892117023
576,0.894554079
577,0.897183239
578,0.899664462
579,0.901906133
580,0.903814495
581,0.904142976
582,0.902232647
583,0.896232963
584,0.884112597
585,0.869828761
586,0.854328096
587,0.838644624
588,0.823840022
589,0.810501277
590,0.799451113
591,0.792412281
592,0.791548729
593,0.793773592
594,0.798577726
595,0.805432022
596,0.81379348
597,0.823245764
598,0.833310962
599,0.843392313
600,0.852790475
601,0.86160624
602,0.869555593
603,0.876170158
604,0.880788803
605,0.88407141
606,0.886047423
607,0.886591971
608,0.885396659
609,0.883312523
610,0.880640507
611,0.877784669
612,0.87528652
613,0.872877538
614,0.87067163
615,0.86896956
616,0.868340373
617,0.867836714
618,0.867224216
619,0.866165459
620,0.864171088
621,0.861596406
622,0.858400345
623,0.854301572
624,0.848643482
625,0.842789412
626,0.83715713
627,0.83236742
628,0.829386055
629,0.827404022
630,0.826440096
631,0.826686442
632,0.828642964
633,0.831261694
634,0.834214747
635,0.837194622
636,0.83992964
637,0.841967285
638,0.84293896
639,0.842185199
640,0.838548481
641,0.833427608
642,0.82703048
643,0.819443464
644,0.810567319
645,0.801316857
646,0.79213202
647,0.783624649
648,0.776634574
649,0.770650625
650,0.76579839
651,0.762226999
652,0.760111928
653,0.759454668
654,0.760339439
655,0.763042569
656,0.768011808
657,0.774384141
658,0.781924784
659,0.790638208
660,0.800699949
661,0.810755372
662,0.820189714
663,0.827828526
664,0.832196176
665,0.835162342
666,0.836963475
667,0.837891459
668,0.838257313
669,0.838065505
670,0.837471962
671,0.836776674
672,0.83630228
673,0.835641921
674,0.834754169
675,0.833881199
676,0.833259583
677,0.831807852
678,0.829114616
679,0.824404001
680,0.816987336
681,0.807679594
682,0.796514213
683,0.782943785
684,0.766681254
685,0.74954325
686,0.732223451
687,0.715581119
688,0.700371146
689,0.686819673
690,0.675443411
691,0.667963147
692,0.665121913
693,0.664343059
694,0.664943576
695,0.665453613
696,0.665181279
697,0.66527313
698,0.665776551
699,0.666612446
700,0.667847276
701,0.669795036
702,0.672612965
703,0.677431703
704,0.684121966
705,0.69098711
706,0.697394788
707,0.70345968
708,0.708225787
709,0.709780574
710,0.706924975
711,0.695135951
712,0.67507863
713,0.650668859
714,0.623068035
715,0.592854738
716,0.561582804
717,0.531220734
718,0.503319144
719,0.48258695
720,0.468129933
721,0.45755294
722,0.450414807
723,0.445531815
724,0.44310993
725,0.443538696
726,0.446819246
727,0.45305261
728,0.462143451
729,0.473993897
730,0.488548934
731,0.507282495
732,0.528533399
733,0.550901115
734,0.573517263
735,0.594053209
736,0.613296032
737,0.631503344
738,0.648542345
739,0.664163411
740,0.678375125
741,0.691122532
742,0.702328384
743,0.711590111
744,0.719249487
745,0.725415707
746,0.730158746
747,0.73439616
748,0.737044275
749,0.737767339
750,0.736308932
751,0.734377623
752,0.728762984
753,0.718309104
754,0.701250374
755,0.670452356
756,0.634615541
757,0.595614195
758,0.554835737
759,0.512003601
760,0.473159611
761,0.441517502
762,0.423069686
763,0.427321613
764,0.442153424
765,0.465594739
766,0.496145099
767,0.532383502
768,0.570469499
769,0.607766032
770,0.639054358
771,0.660498023
772,0.677192509
773,0.689433873
774,0.696914494
775,0.699952722
776,0.700229704
777,0.698606491
778,0.697338045
779,0.69672972
780,0.695146382
