wv,spd
360,0.212145075
361,0.21722196
362,0.223489046
363,0.230109677
364,0.236421213
365,0.241934478
366,0.244499043
367,0.2453852
368,0.245485678
369,0.245152622
370,0.245345235
371,0.245796576
372,0.246323884
373,0.246964529
374,0.248472303
375,0.250189781
376,0.251475453
377,0.251983017
378,0.249888375
379,0.246199071
380,0.242075756
381,0.237991586
382,0.235039353
383,0.233161077
384,0.232149974
385,0.232123032
386,0.233973995
387,0.237205043
388,0.24101086
389,0.245043203
390,0.247209087
391,0.248424977
392,0.250572503
393,0.254391462
394,0.262491852
395,0.274386525
396,0.288253874
397,0.30362165
398,0.32052514
399,0.33820051
400,0.355423957
401,0.371379197
402,0.383574426
403,0.391999632
404,0.398531795
405,0.403547823
406,0.407581031
407,0.410948694
408,0.413755029
409,0.416259706
410,0.419295371
411,0.422972947
412,0.426460087
413,0.42956239
414,0.431776732
415,0.432941258
416,0.433516473
417,0.433570981
418,0.433362424
419,0.432968587
420,0.432016551
421,0.430402517
422,0.427583158
423,0.423358947
424,0.41875276
425,0.414089024
426,0.409710139
427,0.40594855
428,0.403076798
429,0.401400149
430,0.401730716
431,0.404710829
432,0.409029335
433,0.414408624
434,0.420541227
435,0.427122921
436,0.433980674
437,0.440873861
438,0.447272182
439,0.452576607
440,0.457698464
441,0.462793261
442,0.468250394
443,0.474612474
444,0.480969697
445,0.487119824
446,0.492742926
447,0.497377992
448,0.501446843
449,0.504951775
450,0.507850587
451,0.510007739
452,0.511716962
453,0.513073206
454,0.514210284
455,0.515397847
456,0.516400874
457,0.517211974
458,0.5178352
459,0.518338382
460,0.518584728
461,0.518527865
462,0.518085122
463,0.516788423
464,0.515259504
465,0.513648689
466,0.51211524
467,0.511056602
468,0.510258853
469,0.509767532
470,0.509628177
471,0.510159552
472,0.511027217
473,0.512168527
474,0.513521492
475,0.51557827
476,0.517526269
477,0.519057691
478,0.51988554
479,0.518656373
480,0.516488969
481,0.513619006
482,0.510204673
483,0.505939722
484,0.501576424
485,0.497523189
486,0.494137794
487,0.492960453
488,0.492888421
489,0.493574411
490,0.49485147
491,0.496869296
492,0.499084413
493,0.501122177
494,0.502670348
495,0.502457798
496,0.50126797
497,0.499475867
498,0.497224361
499,0.49449271
500,0.491602302
501,0.48882398
502,0.486380965
503,0.485182941
504,0.48474291
505,0.484694302
506,0.484909385
507,0.48546949
508,0.486043274
509,0.486306936
510,0.486021549
511,0.483927071
512,0.480710894
513,0.477187157
514,0.473685563
515,0.470959067
516,0.468980491
517,0.467608035
518,0.466926515
519,0.467476994
520,0.468996614
521,0.471012145
522,0.473331422
523,0.475536853
524,0.477588028
525,0.479596347
526,0.481514245
