wv,spd
360,0.378816724
361,0.389003575
362,0.400638759
363,0.412578404
364,0.423865944
365,0.433731675
366,0.4386805
367,0.440829396
368,0.441675901
369,0.441830724
370,0.442986965
371,0.444651425
372,0.4464809
373,0.448524773
374,0.452088326
375,0.45600298
376,0.459127873
377,0.460839897
378,0.457876623
379,0.452032566
380,0.44537589
381,0.438746899
382,0.434070706
383,0.431257695
384,0.429957598
385,0.43038708
386,0.434162289
387,0.440392196
388,0.447631896
389,0.45525983
390,0.459478796
391,0.461969346
392,0.466168493
393,0.473435223
394,0.488528132
395,0.510575652
396,0.536280334
397,0.564797521
398,0.596310079
399,0.629383326
400,0.661651671
401,0.691574156
402,0.714478076
403,0.730329633
404,0.742622435
405,0.752045989
406,0.759565175
407,0.765764475
408,0.77085346
409,0.775315285
410,0.780659676
411,0.787103295
412,0.793173015
413,0.798538625
414,0.802365899
415,0.804377794
416,0.805312872
417,0.805270076
418,0.804654062
419,0.803578556
420,0.801428974
421,0.798025608
422,0.792403936
423,0.784213364
424,0.775286078
425,0.766207039
426,0.757558823
427,0.749925196
428,0.743898392
429,0.740066051
430,0.739964843
431,0.744813561
432,0.752172709
433,0.761538327
434,0.772365272
435,0.784113109
436,0.796421468
437,0.808837235
438,0.820382655
439,0.829955637
440,0.839188814
441,0.848346472
442,0.85812366
443,0.869497895
444,0.880770147
445,0.891545355
446,0.901172876
447,0.908695877
448,0.915073931
449,0.920355737
450,0.924520373
451,0.927400589
452,0.92950207
453,0.931019008
454,0.93223393
455,0.933738232
456,0.934975266
457,0.935906529
458,0.936504424
459,0.936802506
460,0.936638176
461,0.935935438
462,0.934551358
463,0.931630671
464,0.928331971
465,0.924942791
466,0.921768486
467,0.919587731
468,0.917963922
469,0.916976154
470,0.916703761
471,0.917873085
472,0.919663012
473,0.921896636
474,0.924398184
475,0.927814066
476,0.930855453
477,0.932982087
478,0.933684886
479,0.930435121
480,0.925385177
481,0.919015467
482,0.911659777
483,0.902920306
484,0.894066095
485,0.885825217
486,0.878845334
487,0.875941336
488,0.875084996
489,0.875632405
490,0.877270103
491,0.880135059
492,0.883378267
493,0.886390746
494,0.888652444
495,0.887973666
496,0.885742009
497,0.882634103
498,0.878922105
499,0.87486428
500,0.870748162
501,0.866857052
502,0.863470018
503,0.861951649
504,0.861458123
505,0.861336112
506,0.861309826
507,0.861167908
508,0.86057198
509,0.859185934
510,0.856699824
511,0.851144373
512,0.843714654
513,0.835811794
514,0.82804966
515,0.821840048
516,0.817124188
517,0.813627243
518,0.811501563
519,0.81175983
520,0.813898683
521,0.81701833
522,0.820748985
523,0.824303448
524,0.827592671
525,0.830808401
526,0.833848178
527,0.836478591
528,0.838674545
529,0.840524137
530,0.842012525
531,0.843263566
532,0.844192386
533,0.844566703
534,0.844274461
535,0.842702985
536,0.83994031
537,0.836737454
538,0.83335501
539,0.830293834
540,0.827738941
541,0.825508714
542,0.823676825
543,0.822538674
