wv,spd
360,0.028808061
361,0.029577721
362,0.03047898
363,0.031423628
364,0.032338534
365,0.03316557
366,0.033659846
367,0.033961073
368,0.034166526
369,0.034312692
370,0.034484658
371,0.034669351
372,0.034860417
373,0.035069153
374,0.035427738
375,0.0358302
376,0.036173236
377,0.036403384
378,0.036252379
379,0.035863522
380,0.03540238
381,0.034934592
382,0.034604982
383,0.034411304
384,0.034332294
385,0.034388069
386,0.034712989
387,0.035236742
388,0.035843797
389,0.036485836
390,0.036872033
391,0.037129875
392,0.037520994
393,0.038148321
394,0.039368417
395,0.041117806
396,0.043152042
397,0.045409668
398,0.047926214
399,0.050584521
400,0.053179543
401,0.055584092
402,0.057416014
403,0.058670819
404,0.05963118
405,0.060351487
406,0.060897537
407,0.061319377
408,0.061651502
409,0.061939765
410,0.062330119
411,0.062842429
412,0.063331679
413,0.063764356
414,0.064055055
415,0.064175725
416,0.064202964
417,0.06414745
418,0.064042844
419,0.063900962
420,0.063678876
421,0.063366368
422,0.062900193
423,0.062258575
424,0.061567128
425,0.060867243
426,0.060195487
427,0.059591115
428,0.059109427
429,0.058796953
430,0.058775086
431,0.059140161
432,0.059699856
433,0.060414575
434,0.061242785
435,0.062143166
436,0.063082881
437,0.064024732
438,0.064887367
439,0.065578952
440,0.066237852
441,0.066887237
442,0.067583762
443,0.068406023
444,0.069224648
445,0.070011593
446,0.070722118
447,0.071291536
448,0.071780153
449,0.072188869
450,0.072516084
451,0.072754905
452,0.072922707
453,0.073025636
454,0.073068887
455,0.073054396
456,0.072996281
457,0.072903156
458,0.072788343
459,0.072691917
460,0.072568208
461,0.072409414
462,0.072203226
463,0.071889244
464,0.071543001
465,0.071181223
466,0.070821643
467,0.070508428
468,0.070217863
469,0.069955058
470,0.069725119
471,0.069559552
472,0.06942673
473,0.06932129
474,0.06923794
475,0.069227651
476,0.06920892
477,0.069151498
478,0.069027245
479,0.068714119
480,0.068307765
481,0.067826077
482,0.067280121
483,0.066602558
484,0.065904722
485,0.065239936
486,0.064652942
487,0.06432917
488,0.064139605
489,0.064045087
490,0.064027943
491,0.064136915
492,0.064275317
493,0.064381883
494,0.064408436
495,0.064164601
496,0.063764691
497,0.063262463
498,0.06267722
499,0.061988823
500,0.061259665
501,0.060539957
502,0.059868403
503,0.05938242
504,0.059018593
505,0.058730822
506,0.058507349
507,0.058382589
508,0.058299817
509,0.058203958
510,0.058058713
511,0.057707284
512,0.057222653
513,0.056692757
514,0.056148376
515,0.055650849
516,0.055205178
517,0.054808099
518,0.0544727
