wv,spd
360,0.0543884
361,0.055653706
362,0.057299528
363,0.059075713
364,0.060788568
365,0.062300663
366,0.06298849
367,0.063229464
368,0.063290536
369,0.063280471
370,0.063532092
371,0.063925661
372,0.064372502
373,0.064865209
374,0.065545
375,0.066260315
376,0.066862874
377,0.067265682
378,0.06703753
379,0.066406712
380,0.065637194
381,0.064832807
382,0.064167015
383,0.063683987
384,0.063411169
385,0.063412398
386,0.064058267
387,0.065169796
388,0.066446573
389,0.067768678
390,0.068470173
391,0.068826959
392,0.069416992
393,0.070460886
394,0.072733276
395,0.076091304
396,0.079996787
397,0.084311277
398,0.089008749
399,0.093886159
400,0.098638564
401,0.103051275
402,0.106484376
403,0.108927831
404,0.11085055
405,0.112340696
406,0.113491207
407,0.114388436
408,0.1151122
409,0.115747087
410,0.11656066
411,0.117589995
412,0.118570864
413,0.119442798
414,0.120046012
415,0.120330505
416,0.120446533
417,0.120418213
418,0.120335676
419,0.120226271
420,0.119960092
421,0.119501136
422,0.118677899
423,0.117424883
424,0.116053343
425,0.11465925
426,0.11335329
427,0.112237938
428,0.111366853
429,0.110820398
430,0.110811137
431,0.111507386
432,0.112567797
433,0.113920689
434,0.115499914
435,0.1172387
436,0.119046003
437,0.120843291
438,0.122453317
439,0.123675413
440,0.12482363
441,0.125954434
442,0.127196088
443,0.128723815
444,0.130267218
445,0.131772995
446,0.13316147
447,0.134321257
448,0.135339081
449,0.136207506
450,0.136904836
451,0.137379497
452,0.137717456
453,0.137941018
454,0.138077557
455,0.138171971
456,0.138203815
457,0.138182119
458,0.138124898
459,0.138100818
460,0.13801603
461,0.137848467
462,0.137563571
463,0.136993974
464,0.136347845
465,0.135670915
466,0.135012418
467,0.134514704
468,0.134081036
469,0.133716166
470,0.133424833
471,0.133251309
472,0.133145347
473,0.133096039
474,0.133092552
475,0.133247063
476,0.133382171
477,0.133432478
478,0.133337274
479,0.132825702
480,0.132113934
481,0.131244183
482,0.130243421
483,0.128982916
484,0.127688706
485,0.126471624
486,0.125425458
487,0.124959216
488,0.124777451
489,0.124786057
490,0.12493901
491,0.125276253
492,0.125649512
493,0.125956371
494,0.126111314
495,0.125761688
496,0.125127301
497,0.124314189
498,0.123363651
499,0.122283198
500,0.121151075
501,0.120035067
502,0.118993111
503,0.11821194
504,0.117616244
505,0.117153339
506,0.116815321
507,0.116735272
508,0.116767965
509,0.11677324
510,0.116668239
511,0.11610242
512,0.115235694
513,0.114261255
514,0.113245249
515,0.112302631
516,0.111458451
517,0.110724516
518,0.110138774
519,0.109892517
