wv,spd
360,0.420912981
361,0.432700932
362,0.446480453
363,0.460851341
364,0.474686205
365,0.487129658
366,0.494454592
367,0.498847127
368,0.501840651
369,0.504034162
370,0.506950796
371,0.510247052
372,0.513707399
373,0.517451584
374,0.523257375
375,0.529636443
376,0.535136938
377,0.538990557
378,0.537335694
379,0.532237768
380,0.526082695
381,0.51981765
382,0.515364766
383,0.512835145
384,0.512105227
385,0.513561487
386,0.519623995
387,0.529069185
388,0.539868832
389,0.551190913
390,0.558234811
391,0.563045681
392,0.569864333
393,0.580334127
394,0.60003078
395,0.628017664
396,0.660552561
397,0.696730137
398,0.73724544
399,0.780274093
400,0.822542012
401,0.862059534
402,0.892909169
403,0.914991438
404,0.932630599
405,0.946634293
406,0.95797807
407,0.967405379
408,0.975431085
409,0.982737064
410,0.991480768
411,1.001960874
412,1.012046099
413,1.021248579
414,1.028369546
415,1.032996178
416,1.036148071
417,1.037942886
418,1.038797975
419,1.03884542
420,1.037502289
421,1.034612656
422,1.029197574
423,1.020921707
424,1.011738777
425,1.002294779
426,0.993038476
427,0.98452884
428,0.977978051
429,0.974240661
430,0.975489974
431,0.983457565
432,0.994792521
433,1.008833051
434,1.024873018
435,1.042211533
436,1.060341001
437,1.078654051
438,1.095844626
439,1.11044085
440,1.124614358
441,1.138713717
442,1.153661728
443,1.170757532
444,1.187732816
445,1.204056859
446,1.218847275
447,1.230798602
448,1.241248965
449,1.250279784
450,1.257922053
451,1.264099121
452,1.269227505
453,1.273495555
454,1.277150869
455,1.280647993
456,1.283671856
457,1.286255002
458,1.288481951
459,1.290734529
460,1.292442203
461,1.293455124
462,1.293524742
463,1.29135406
464,1.288610816
465,1.285680175
466,1.282968879
467,1.281455517
468,1.280650735
469,1.280688047
470,1.281700969
471,1.284787178
472,1.288739443
473,1.293309569
474,1.298251748
475,1.304396749
476,1.310040236
477,1.314458251
478,1.316967845
479,1.314293742
480,1.309169173
481,1.302181244
482,1.293728948
483,1.282966971
484,1.271884918
485,1.261551976
486,1.252900958
487,1.249815702
488,1.249585032
489,1.251382709
490,1.254832506
491,1.260554552
492,1.26698792
493,1.273102999
494,1.278066158
495,1.278377414
496,1.276250482
497,1.272763491
498,1.268348455
499,1.263477683
500,1.258539677
501,1.253935456
502,1.250077605
503,1.248947382
504,1.249334455
505,1.250303864
506,1.251466393
507,1.25261879
508,1.253190637
509,1.252617836
510,1.250412107
511,1.24358511
512,1.233916163
513,1.223494887
514,1.213224769
515,1.205138087
516,1.199186683
517,1.195017099
518,1.192879796
519,1.194382429
520,1.198741555
521,1.20454824
522,1.211229444
523,1.217544198
524,1.223369002
525,1.229030371
526,1.234383464
527,1.239030957
528,1.2429775
529,1.246445894
530,1.249460578
531,1.252417922
532,1.255154133
533,1.257109761
534,1.258048534
535,1.256851554
536,1.25363481
537,1.249682188
538,1.245413423
539,1.241630673
540,1.238633633
541,1.236138463
542,1.234267831
543,1.233514667
544,1.23391068
545,1.23486197
546,1.236193299
547,1.237783432
548,1.239449024
549,1.240903258
550,1.241925478
551,1.241939783
552,1.240739346
553,1.238890886
554,1.236486554
555,1.233539343
556,1.230133772
557,1.22655189
558,1.222959399
559,1.219798803
560,1.217303872
561,1.214918256
562,1.212534308
563,1.209851503
564,1.206683636
565,1.203468204
566,1.200299859
567,1.197278738
568,1.194502831
569,1.192049384
570,1.190006614
571,1.188560605
572,1.187867403
573,1.187699318
574,1.188030839
575,1.189033031
576,1.19084394
577,1.192763567
578,1.194525719
579,1.196149707
580,1.197652578
581,1.197726965
582,1.195740938
583,1.18994236
584,1.178409219
585,1.164847732
586,1.150134563
587,1.135231853
588,1.121129036
589,1.108351111
590,1.097653627
591,1.090639114
592,1.089325547
593,1.090788841
594,1.094531178
595,1.099996328
596,1.10658741
597,1.114077091
598,1.12205863
599,1.130017638
600,1.137347341
601,1.144164085
602,1.150236249
603,1.155216098
604,1.158634663
605,1.160854936
606,1.161842942
607,1.161371708
608,1.1589849
609,1.155675411
610,1.151748776
611,1.147576451
612,1.143618464
613,1.139814615
614,1.136349678
615,1.133652568
616,1.132500648
617,1.131698489
618,1.130978107
619,1.129971743
620,1.128163815
621,1.125859022
622,1.122977376
623,1.119200468
624,1.113837838
625,1.108201623
626,1.102666259
627,1.097776294
628,1.094364762
629,1.091780186
630,1.090063214
631,1.089417934
632,1.090337873
633,1.091860175
634,1.093699694
635,1.095576406
636,1.097219706
637,1.09831202
638,1.098557591
639,1.097453713
640,1.094143748
641,1.089588165
642,1.083900809
643,1.077061057
644,1.06884253
645,1.060142159
646,1.051330924
647,1.042939186
648,1.035708785
649,1.029128671
650,1.023277998
651,1.018125296
652,1.01351583
653,1.010109544
654,1.008179545
655,1.008275509
656,1.011193752
657,1.015844345
658,1.02204144
659,1.029968739
660,1.040074229
661,1.0504421
662,1.060299516
663,1.068189263
664,1.07228601
665,1.074854374
666,1.076161981
667,1.076548815
668,1.076380253
669,1.075621128
670,1.0744344
671,1.073123097
672,1.072012782
673,1.070717096
674,1.069206119
675,1.067719936
676,1.066493392
677,1.064506888
678,1.061378598
679,1.056452632
680,1.049138665
681,1.039977193
682,1.02892077
683,1.015181303
684,0.9983024
685,0.980512083
686,0.962605357
687,0.945660651
688,0.930577636
689,0.91735214
690,0.906476855
691,0.899713099
692,0.897792161
693,0.897947013
694,0.899405956
695,0.900460005
696,0.900327146
697,0.900415361
698,0.900823474
699,0.901647806
700,0.902987599
701,0.904946506
702,0.907625258
703,0.911915481
704,0.917685091
705,0.92352879
706,0.928905904
707,0.934114635
708,0.93825084
709,0.939335942
710,0.93619287
711,0.924651682
712,0.905213594
713,0.881306648
714,0.853878975
715,0.82275641
716,0.789642632
717,0.757039428
718,0.72664398
719,0.703225851
720,0.68610388
721,0.67313689
722,0.664084435
723,0.658832848
724,0.657031178
725,0.658297002
726,0.662314475
727,0.667999685
728,0.675778389
729,0.686095595
730,0.699066281
731,0.716786563
732,0.737290204
733,0.758948803
734,0.78082335
735,0.800457716
736,0.81863308
737,0.835580468
738,0.85112524
739,0.86463964
740,0.876498222
741,0.886829317
742,0.895674348
743,0.903029561
744,0.908994913
745,0.913637877
746,0.9170205
747,0.920079529
748,0.921685994
749,0.921482742
750,0.919194639
751,0.916561425
752,0.910278201
753,0.899147213
754,0.88138485
755,0.850047946
756,0.81341058
757,0.773186684
758,0.730447471
759,0.684066117
760,0.641261578
761,0.605517268
762,0.583095491
763,0.583772123
764,0.595695317
765,0.617163718
766,0.64744252
767,0.685960054
768,0.727169275
769,0.767997921
770,0.802460372
771,0.826130807
772,0.844662368
773,0.858292401
774,0.8663553
775,0.869121909
776,0.868901134
777,0.866775572
778,0.865648329
779,0.865876019
780,0.865280628
