wv,spd
360,0.138931856
361,0.142811105
362,0.147543818
363,0.152523771
364,0.157274708
365,0.16144985
366,0.163450301
367,0.1642555
368,0.164560243
369,0.164651945
370,0.165430799
371,0.166559234
372,0.167784572
373,0.169076443
374,0.170770928
375,0.172482252
376,0.173832729
377,0.174595729
378,0.173532963
379,0.171344548
380,0.168835461
381,0.166340053
382,0.16465202
383,0.163711935
384,0.163350016
385,0.163636506
386,0.165140495
387,0.167537436
388,0.170305371
389,0.173215836
390,0.174820915
391,0.175776109
392,0.177411407
393,0.180258885
394,0.186229154
395,0.194949716
396,0.205064431
397,0.216211721
398,0.228313103
399,0.240844488
400,0.253025323
401,0.264302254
402,0.272985458
403,0.2790685
404,0.28382495
405,0.287510782
406,0.29048574
407,0.292966366
408,0.295027763
409,0.296848208
410,0.298990488
411,0.301533043
412,0.303921372
413,0.306029081
414,0.307521701
415,0.308294773
416,0.3086631
417,0.308677435
418,0.308546603
419,0.308329135
420,0.307706535
421,0.306585461
422,0.304513305
423,0.301318437
424,0.297828197
425,0.294299155
426,0.29103893
427,0.28832674
428,0.28627193
429,0.285076827
430,0.285295576
431,0.287364423
432,0.290363401
433,0.294090033
434,0.29831019
435,0.302793205
436,0.307447582
437,0.312110066
438,0.316412419
439,0.319937706
440,0.323338062
441,0.326730698
442,0.330404878
443,0.334762543
444,0.339137018
445,0.343382239
446,0.347269505
447,0.350471169
448,0.353279114
449,0.355690867
450,0.357667536
451,0.359093994
452,0.36020577
453,0.361076087
454,0.361810654
455,0.362628669
456,0.363327354
457,0.363894492
458,0.364326179
459,0.364666402
460,0.364805847
461,0.36470297
462,0.364286095
463,0.363163441
464,0.361848176
465,0.36046198
466,0.359134316
467,0.35820061
468,0.357467502
469,0.356966108
470,0.35672754
471,0.356975704
472,0.357473463
473,0.358175486
474,0.359036952
475,0.3604213
476,0.361730665
477,0.362739086
478,0.36323601
479,0.362213433
480,0.36051175
481,0.358311236
482,0.355734169
483,0.352610141
484,0.349435687
485,0.34649083
486,0.344023496
487,0.343116164
488,0.342986286
489,0.343384326
490,0.344188094
491,0.345493972
492,0.346919805
493,0.348199904
494,0.349111736
495,0.34874475
496,0.347662538
497,0.346135616
498,0.344267935
499,0.342040628
500,0.339691758
501,0.337421358
502,0.335393757
503,0.334243655
504,0.333648652
505,0.333369017
506,0.333328575
507,0.333644152
508,0.334051609
509,0.334293783
510,0.334191889
511,0.332871526
512,0.330784917
513,0.328470528
514,0.326136917
515,0.324226111
516,0.322749734
517,0.321656197
518,0.321018845
519,0.321241617
520,0.322146028
521,0.323401392
522,0.324880451
523,0.326324493
524,0.327694833
525,0.329041392
526,0.330321252
527,0.331430137
528,0.332361519
529,0.33316195
530,0.333829761
531,0.334468722
532,0.335023791
533,0.335327655
534,0.335304558
535,0.334594935
536,0.333236486
537,0.331642687
538,0.329949021
539,0.328407466
540,0.327116907
541,0.325998366
542,0.325096726
543,0.324556887
544,0.324399173
545,0.324474961
546,0.324748665
547,0.32526803
548,0.325984806
549,0.326691747
550,0.327283472
551,0.327492982
552,0.327221215
553,0.326720834
554,0.326028645
555,0.325190336
556,0.324243575
557,0.323204219
558,0.322100937
559,0.321037561
560,0.320061207
561,0.319004685
562,0.317822427
563,0.316373348
564,0.314573109
565,0.312646687
566,0.310649008
567,0.308614492
568,0.306586564
569,0.304682642
570,0.302980453
571,0.301632375
572,0.300768077
573,0.300223619
574,0.299989671
575,0.300168037
576,0.300841838
577,0.301620483
578,0.302358687
579,0.302992105
580,0.30345574
581,0.303309143
582,0.302303314
583,0.299750805
584,0.294897705
585,0.289193183
586,0.282978892
587,0.276596516
588,0.270387948
589,0.264693916
590,0.259855777
591,0.256555319
592,0.25564149
593,0.255976081
594,0.25739643
595,0.259775519
596,0.263010949
597,0.266775072
598,0.270849615
599,0.274956882
600,0.278768033
601,0.282353669
602,0.285592198
603,0.288280517
604,0.290130079
605,0.291437328
606,0.29221946
607,0.292441845
608,0.292008072
609,0.291211784
610,0.29016158
611,0.28900218
612,0.287926465
613,0.286843479
614,0.285796285
615,0.284894913
616,0.284345686
617,0.283811033
618,0.283209026
619,0.282416999
620,0.281251997
621,0.279865861
622,0.278253257
623,0.276329547
624,0.273886234
625,0.271381676
626,0.268962026
627,0.266841263
628,0.265348166
629,0.26421997
630,0.263469875
631,0.263167351
632,0.263482124
633,0.264080405
634,0.264862597
635,0.265763819
636,0.266780466
637,0.2676
638,0.268053621
639,0.26785177
640,0.266498446
641,0.26455763
642,0.262099504
643,0.259139657
644,0.255610347
645,0.251899153
646,0.248180494
647,0.244682163
648,0.24170275
649,0.239121154
650,0.23701407
651,0.235509425
652,0.234792113
653,0.234670371
654,0.235131338
655,0.236207485
656,0.237971678
657,0.24018769
658,0.242767483
659,0.245679498
660,0.248932585
661,0.252174109
662,0.255226284
663,0.257763058
664,0.259378612
665,0.260552973
666,0.261333644
667,0.261756152
668,0.261851996
669,0.261718333
670,0.261419892
671,0.261072427
672,0.260799736
673,0.260466993
674,0.260068893
675,0.259715468
676,0.259514391
677,0.259037703
678,0.258129805
679,0.256492406
680,0.253861338
681,0.250560999
682,0.246609941
683,0.241845444
684,0.236186013
685,0.230206445
686,0.224131167
687,0.218227491
688,0.212735698
689,0.207759321
690,0.20347707
691,0.200439915
692,0.198896602
693,0.198069185
694,0.19776535
695,0.19759579
696,0.197365984
697,0.197341636
698,0.197513282
699,0.197792292
700,0.198181137
701,0.198836908
702,0.199818775
703,0.201524675
704,0.203914031
705,0.206400886
706,0.208769634
707,0.21105054
708,0.212921515
709,0.21374552
710,0.213120461
711,0.209568053
712,0.203289673
713,0.195539117
714,0.186678439
715,0.176843241
716,0.166548043
717,0.156468466
718,0.147117734
719,0.140001148
720,0.134864002
721,0.130980209
722,0.128237396
723,0.126348987
724,0.125354454
725,0.12533626
726,0.126285791
727,0.128167853
728,0.130999506
729,0.134798482
730,0.139571071
731,0.145858362
732,0.153104812
733,0.16084604
734,0.168803826
735,0.176291347
736,0.183493614
737,0.190447435
738,0.197080389
739,0.203320265
740,0.20909436
741,0.214330137
742,0.21895504
743,0.222571641
744,0.225525871
745,0.227931142
746,0.229862064
747,0.231839344
748,0.233330086
749,0.234195083
750,0.23432973
751,0.234281614
752,0.232965454
753,0.229977965
754,0.224719957
755,0.214866906
756,0.203182951
757,0.19023858
758,0.176388979
759,0.161253482
760,0.147245675
761,0.135528371
762,0.128215104
763,0.128621265
764,0.132663742
765,0.139731795
766,0.149402335
767,0.161284029
768,0.174019277
769,0.1867311
770,0.197785288
771,0.205953032
772,0.212625355
773,0.217785567
774,0.221034974
775,0.222370952
776,0.222653419
777,0.222223297
778,0.222025782
779,0.222160891
780,0.22188729
